created_at,text
Thu May 07 04:28:42 +0000 2015,@CJ12_ @JoakimNoah Guess you missed the College Football playoffs when #12 and the rest of the #Bucks beat that team from the lil sec.
Thu May 07 04:28:18 +0000 2015,RT @TDeezy21: Deandre Jordan would look great in a #Bucks jersey next season...
Thu May 07 04:23:50 +0000 2015,I feel like the discovery channel could film a very interesting episode on sluts here right now #bucks
Thu May 07 04:23:31 +0000 2015,RT @Ty_Reed09: I can't even right now!!! #bucks
Thu May 07 04:23:05 +0000 2015,I can't even right now!!! #bucks
Thu May 07 04:21:37 +0000 2015,http://t.co/JDe7w4y50X Sports Illustrated Kareem Abdul Jabbar Wilt Chamberlain Milwauke #Bucks http://t.co/qD1mEIw2DO
Thu May 07 04:14:08 +0000 2015,@Bucks  good read in this ESPN article. #FearTheDeer #Bucks http://t.co/uFXvAPjdN1
Thu May 07 03:57:29 +0000 2015,It hasn't been a week and I already miss #Bucks and #Spurs basketball. 😫 #GoSpursGo #GoBucksGo
Thu May 07 03:54:16 +0000 2015,http://t.co/EEkB0NdMH9: Nightly Notable: Terrence... http://t.co/e5VWfA4C6W #bucks #january #jones #nightly #notable #rockets #terrence
Thu May 07 03:47:23 +0000 2015,get well soon g @JabariParker #duke #bucks
Thu May 07 03:32:25 +0000 2015,Deandre Jordan would look great in a #Bucks jersey next season...
Thu May 07 03:30:50 +0000 2015,#NBA #Bucks - Milwaukee Bucks Rare Bango Christmas Ornament Double-Sided:  $8.99End Dat... http://t.co/ZmPQW3Yr30 http://t.co/k33Sm3HFUt
Thu May 07 03:30:50 +0000 2015,#NBA #Bucks - NEW YOUTH Milwaukee Bucks Reversible Jersey XL 20 Nike NWT Basketball:  $... http://t.co/nG5jMzwxC9 http://t.co/k33Sm3HFUt
Thu May 07 03:28:13 +0000 2015,#MilwaukeeBucks Bucks arena proposal faces new funding challenge: MILWAUKEE (WKOW) -- The news that the... http://t.co/om3fDoCy3R #Bucks
Thu May 07 03:21:07 +0000 2015,Sly Fox Bock Fest Goat Race crowns newest champio  http://t.co/c3cJirIuOm   #bucks #joeleskin #pennymaibock #slyfox
Thu May 07 02:42:29 +0000 2015,'Scourge' sent to prison for robbing Limerick Kohls   http://t.co/pav9UnBi8D   #bucks #limerick #montgomery
Thu May 07 02:36:25 +0000 2015,RT @buckscc: Calling all #Bucks pupils - Have you entered our @ArmedForcesDay competition with @Get_Bucks For entry details vist http://t.c…
Thu May 07 02:35:09 +0000 2015,Southeast Notes :Carroll  Green  Wall http://t.co/y03BmT7TBn #Bucks #NBA
Thu May 07 02:13:22 +0000 2015,Bucks arena proposal faces new funding challenge #WKOW #Bucks http://t.co/vMZOG3gr9E http://t.co/ON0gbilURG
Thu May 07 02:10:08 +0000 2015,Draft History :Dennis Lindsey http://t.co/rKM2pdJX4W #Bucks #NBA
Thu May 07 02:07:12 +0000 2015,Find more 2014 BIG #bucks on our website http://t.co/FgNbeCaQ1M  #Q1BuckPole #Hunting #DeerHunting... http://t.co/P7EYgiEmUV
Thu May 07 01:54:16 +0000 2015,Bucks arena proposal faces new funding challenge http://t.co/Fk1sAlWHbn #WKOW #Bucks http://t.co/Gd5AwBm89F
Thu May 07 01:45:07 +0000 2015,Atlantic Notes :Lopez  Nets  Jones http://t.co/auFa0dbbYH #Bucks #NBA
Thu May 07 01:42:36 +0000 2015,Biking season returns  and officials stress courtesy on Montgom  http://t.co/DVeiEhBCS8   #bucks #montgomery #upper
Thu May 07 01:32:12 +0000 2015,Hopefully the #Bears #Packers crowd shows up on Friday at the @UnitedCenter and not that #Bulls #Bucks crowd
Thu May 07 01:27:41 +0000 2015,RT @paugasol: Tonight we have a difficult game against the #Bucks. Protect our home floor! #SeeRed @UnitedCenter
Thu May 07 01:26:47 +0000 2015,#NBA #Bucks - NBA Milwaukee Bucks Basketball 12 oz Beer Bottle Light LED Neon Bar Pub: ... http://t.co/tErJND7uqZ http://t.co/k33Sm3HFUt
Thu May 07 01:26:47 +0000 2015,#NBA #Bucks - Jason Kidd Dallas Mavericks Adidas Blue YOUTH JERSEY Size Medium Milwauke... http://t.co/bwQthqQ1ql http://t.co/k33Sm3HFUt
Thu May 07 01:26:47 +0000 2015,#NBA #Bucks - Vomax Women's Milwaukee Bucks Cycling Shorts (Small):  $25.99End Date: Fr... http://t.co/v5pfOqI5ap http://t.co/k33Sm3HFUt
Thu May 07 01:26:46 +0000 2015,#NBA #Bucks - PRE-OWNED NBA MILWAUKEE BUCKS BRANDON JENNINGS ADDIDAS JERSEY MEN'S SIZE ... http://t.co/Kaa5WgA7Gt http://t.co/k33Sm3HFUt
Thu May 07 01:20:03 +0000 2015,Jimmy Butler To Be Named Most Improved Player http://t.co/Nww1MS0JTB #Bucks #NBA
Thu May 07 01:05:11 +0000 2015,Go #Bucks http://t.co/jq0lypL4ZT #follow #NBA #Milwaukee Bucks
Thu May 07 01:00:11 +0000 2015,Sly Fox Bock Fest Goat Race crowns newest champio  http://t.co/GKn1YyN4EP  #bucks #joe #movingcompany #pennymaibock
Thu May 07 00:52:42 +0000 2015,#Bucks Tweets: We're bringing the @BucksProShop to Bayshore  South Ridge  Mayfair… http://t.co/isydgLOeuw #NBA http://t.co/K0C0hznlTW
Thu May 07 00:49:17 +0000 2015,Bucks County  Pa. Opens Summer Touris  http://t.co/M3raGVEWmN   #bucks #nationaltourism #paulbencivengo #shadybrook
Thu May 07 00:49:10 +0000 2015,Sly Fox Bock Fest Goat Race crowns newest champion in Pottstown  http://t.co/xMwgvfqXHW   #bucks #joeleskin #slyfox
