created_at,text
Thu May 07 04:29:34 +0000 2015,#Celtics #Hat Forever Collectibles Boston Celtics"TEAM LOGO SANTA HAT"NWT http://t.co/OUMawwi7SM #Boston #BestSeller
Thu May 07 04:28:19 +0000 2015,On this day in 1985 #Celtics #legend Tom Heinsohn was inducted into the Naismith Basketball HOF. #NBA #BleedGreen… http://t.co/Ia11FLCmfW
Thu May 07 04:28:12 +0000 2015,L L #Celtics #Tshirt 1986 Boston Celtics Championship Vintage T Shirt Large 50/50 #NBA #Boston http://t.co/N5Nn0sDd3b
Thu May 07 04:24:05 +0000 2015,#Healthy #Program Jump Start Diet With Cleanse - Is An Effective Cleanse Your Answer to Jump Start… http://t.co/SjqfSxRii4 #Celtics #GetFit
Thu May 07 04:22:36 +0000 2015,L #NBA #Celtics #Arena Larry Bird Boston Celtics Warm-Up Mitchell   amp  Ness Hardwood Classics - Mens… #BasketBall… http://t.co/8hS0OJb1vB
Thu May 07 04:17:05 +0000 2015,L #Celtics #Tshirt NEW Boston Celtics T Shirt - Mens XL #NBA #Boston http://t.co/cTCNdW981T
Thu May 07 04:16:06 +0000 2015,#NBA Larry Bird #Boston #Celtics ADIDAS Logo Player Jersey T Shirt (White) - Men's http://t.co/q8l97suwzQ #BasketBall #Forsale
Thu May 07 04:16:06 +0000 2015,#NBA #Celtics #Arena Boston Celtics NBA Nike Jacket-Size XL http://t.co/SmsKoQt5GK #BasketBall #Deals
Thu May 07 04:16:05 +0000 2015,#Celtics #Jersey Vintage Paul Pierce Boston Celtics Nike Swingman Jersey Size XL. http://t.co/JD44b7gJyu #Basketball #NBA
Thu May 07 04:16:05 +0000 2015,#Celtics #Tshirt Boston Celtics Basket Ball T-Shirt Black-Leprechaun-Four leaf clover-sz size M http://t.co/utkn7rvKIe #NBA #Boston
Thu May 07 04:13:10 +0000 2015,#Celtics #Hat Black And Gold Boston Celtics Hat http://t.co/w67uMVu9D3 #Boston #BestSeller
Thu May 07 04:12:08 +0000 2015,L #Celtics #Tshirt ADULT Medium Black T Shirt GARNETT UNK NBA BOSTON CELTICS Basketball #NBA #Boston http://t.co/9r213exmzw
Thu May 07 04:10:17 +0000 2015,Despite Sweep  C  #039 s See Progress in Surprising Season http://t.co/adWUh2jYoA #Celtics #NBA
Thu May 07 04:08:34 +0000 2015,#Healthy #Program Fucoxanthine - Here's the Truth About Its Weight Loss Qualities http://t.co/Ei4uvdSWMG #Celtics #GetFit
Thu May 07 04:05:44 +0000 2015,RT @mariamenounos: Had a blast on @jimrome ! watch tonight on Showtime 6pm pst/9pm est #celtics #patriots #redsox #wwe
Thu May 07 04:05:39 +0000 2015,#NBA #CELTICS - NBA Boston CELTICS Hardwood Classics New Era "59 FIFTY" Cap Hat Size 7.... http://t.co/ebscfiXNa3 http://t.co/k33Sm3HFUt
Thu May 07 04:05:39 +0000 2015,#NBA #CELTICS - Otek Sports 1985 Larry Bird Boston Celtics Jersey Sz. 3XL:  $30.00End D... http://t.co/UytX0KqF0C http://t.co/k33Sm3HFUt
Thu May 07 04:05:37 +0000 2015,L #NBA Larry Bird NBA Superstar Collectors Mug. Sporte Impressions. NIB. #Boston #Celtics #BasketBall #Forsale http://t.co/CYXgXlNTCz
