created_at,text
Thu May 07 04:38:59 +0000 2015,Are you a contender if Austin Rivers is playing crunch time minutes in meaningful playoff game? How shallow are the #Clippers. #NBAPlayoffs
Thu May 07 04:38:48 +0000 2015,Feel bad for Rivers. He almost made a great play  instead he ended up making a huge mistake that probably sealed the loss for the #Clippers.
Thu May 07 04:38:48 +0000 2015,RT @LAClippers: #Clippers down four with less than a minute to play
Thu May 07 04:38:44 +0000 2015,I'll be so happy if the #Clippers can steal this win.
Thu May 07 04:38:42 +0000 2015,Well get the next one #clippers
Thu May 07 04:38:40 +0000 2015,Fricken Ref's!!! #Clippers shoulda Won this game!!! 61 trips to the free throw for Houston! Please!!! Ref's made sure the Clippers Lost!!!!!
Thu May 07 04:38:40 +0000 2015,#clippers are done tonight. Doesn't matter  they'll never get past the #Kings
Thu May 07 04:38:38 +0000 2015,Aww  poor Austin #Clippers http://t.co/4J19L5T9HN
Thu May 07 04:38:36 +0000 2015,RT @LAClippers: #Clippers down four with less than a minute to play
Thu May 07 04:38:33 +0000 2015,HA 2 oldtimer stuff #rockets v #clippers=dj play #thereitis      crowd chant #beatLA=clips ARE the new #lakers @magicjohnson
Thu May 07 04:38:24 +0000 2015,RT @spacebrasil: #NBAnoSPACE | #CLIPPERS 107-113 #ROCKETS | 4º QUARTO (16.1).
Thu May 07 04:38:23 +0000 2015,RT @LAClippers: #Clippers down four with less than a minute to play
Thu May 07 04:38:12 +0000 2015,Dwight Howard just made two clutch free throws?   WTF...still scratching my head.  #dwighthoward #rockets #tntplayoffs #clippers #hackashaq
Thu May 07 04:38:07 +0000 2015,#WeLoveLA RT "#LAClippers #Clippers down four with less than a minute to play" #SportsRoadhouse
Thu May 07 04:38:01 +0000 2015,And in these last 2 #Clippers games have been played without CP3. Win game 1  lost game 2 but was still winnable.
Thu May 07 04:38:00 +0000 2015,RT @LAClippers: #Clippers down four with less than a minute to play
Thu May 07 04:37:57 +0000 2015,RT @JRSportBrief: Austin Rivers crossed himself AGAIN. SMFH. #clippers
Thu May 07 04:37:53 +0000 2015,Sooo Houston ties the series with Los Angeles 1-1. This series will be interesting... i still see #Clippers winning this series though.
Thu May 07 04:37:50 +0000 2015,The #Clippers r bout 2 give this away. Could've really grabbed control of series  but if Chris Paul is back Friday  still like their chances
Thu May 07 04:37:48 +0000 2015,RT @Esp_Interativo: Reta final de mais um jogão da NBA  corre lá no Space “@spacebrasil: #NBAnoSPACE | #CLIPPERS 88-93 #ROCKETS | 4º QUARTO…
