created_at,text
Thu May 07 04:38:50 +0000 2015,RT @theborisdiaw: Thank you spurs fans for waiting for us at the airport even after we lost. You truly are the best fans.  #gospursgo http:…
Thu May 07 04:32:34 +0000 2015,#Spurs #GoSpursGo 1999 SKYBOX E-X #17 TIM DUNCAN SPURS POP 5 PSA 10 K1677443-278 http://t.co/jcMrFyerNq #TimDuncan #NBA
Thu May 07 04:31:10 +0000 2015,Watching the clippers and rockets play...this is just a terrible terrible dream. Someone wake me up #GoSpursGo
Thu May 07 04:30:17 +0000 2015,lol yup this is my team! #GoSpursGo  https://t.co/eCoGsTBjqC
Thu May 07 04:30:06 +0000 2015,@steven_lebron @blanchardJRB aww missing the Spurs? #GoSpursGo
Thu May 07 04:30:03 +0000 2015,RT @spurs: Thank you #SpursFamily for another great season! We ❤️‍ You! #GoSpursGo    🎥: http://t.co/A54Mw0AEyb http://t.co/tfOtQKL7M4
Thu May 07 04:16:33 +0000 2015,#Spurs #GoSpursGo Tim Duncan 2 #Card Lot Immaculate Base # 39 / 99 / Select Blue Prizm San Antonio http://t.co/JroL4KBkqH #TimDuncan #NBA
Thu May 07 04:12:03 +0000 2015,RT @GoSpursGoMemes: Meanwhile on Vacation..... #GoSpursGo #RaceForSeis #SpursNation #Spurs http://t.co/chjx0nFgWL
Thu May 07 04:09:37 +0000 2015,I struggle with who to route for in this game. I want the @LAClippers because they beat the @spurs but @JHarden13 doh #GoSpursGo #houvslac
Thu May 07 04:06:46 +0000 2015,Instead of watching this Rockets-Clippers game  I just discovered @SheaSerrano and realized he is my hero.  #GoSpursGo
Thu May 07 04:03:19 +0000 2015,RT @SpursNationSA: Win or lose Spurs fans will always be the best in the NBA. #SpursNation #GoSpursGo http://t.co/yHNkhJzqWZ
Thu May 07 04:01:27 +0000 2015,I would rather the title stay in Texas than go anywhere else. Houston represent Texas! #GoSpursGo
Thu May 07 04:00:07 +0000 2015,#Spurs #GoSpursGo 2009-10 Panini Certified Tim Duncan Fabric of the Game NBA Parallel Patch Prime http://t.co/EQcEr1EQPX #TimDuncan #NBA
Thu May 07 03:57:52 +0000 2015,@geoffsheen760 if I have to go for another NBA team I choose Memphis. Maybe @jtimberlake will sing the national anthem. #GoSpursGo
Thu May 07 03:57:29 +0000 2015,It hasn't been a week and I already miss #Bucks and #Spurs basketball. 😫 #GoSpursGo #GoBucksGo
Thu May 07 03:54:24 +0000 2015,This made me cry  gosh. Good job. #GoSpursGo #GoTimmyGo https://t.co/PXL09TbrC2
Thu May 07 03:54:05 +0000 2015,Meanwhile on Vacation..... #GoSpursGo #RaceForSeis #SpursNation #Spurs http://t.co/CgRG5eI1Ev http://t.co/RB88UMVzqd
Thu May 07 03:47:07 +0000 2015,#GoSpursGo Clippers' Paul out against Houston in Game 2 (The Associated Press): HOUSTON (AP) ... http://t.co/wvng7zeHwn #SanAntonioSpurs
Thu May 07 03:46:23 +0000 2015,Money quarter comin' up. Come on Rockets #CLIPPERSvsROCKETS #NotARocketsFan #GoSpursGo
Thu May 07 03:44:39 +0000 2015,#Spurs #GoSpursGo 1997-98 #Topps generations refractor tim duncan http://t.co/S8BD08iAQm #TimDuncan #NBA
Thu May 07 03:44:11 +0000 2015,Wonderful article Manu. My Spanish is very bad  but understood some of it. We all want you back! #GoSpursGo  https://t.co/wmYsaJ3uhC
Thu May 07 03:43:06 +0000 2015,RT @GoSpursGoMemes: Meanwhile on Vacation..... #GoSpursGo #RaceForSeis #SpursNation #Spurs http://t.co/chjx0nFgWL
Thu May 07 03:42:50 +0000 2015,RT @SanASpurs: Spurs drown sorrows with paint ball outing: Their season over about six weeks earlier than they're ... http://t.co/7lFAgj8KR…
Thu May 07 03:38:26 +0000 2015,Mr. Steal Your Girl 😂😂 #treysongz #headshot #hireme #closeup #gospursgo #SpursFan #ethangray… https://t.co/RubHPJH6K8
Thu May 07 03:37:38 +0000 2015,#goSpursGo https://t.co/DeZcgxHLmC
Thu May 07 03:36:17 +0000 2015,@ESPNNBA your welcome #GoSpursGo
Thu May 07 03:36:15 +0000 2015,RT @thespurslogo: Probably one of the best GIFs out there. #GoSpursGo http://t.co/0aMEQKqNpe
Thu May 07 03:33:22 +0000 2015,RT @eleonbaz: Manu Ginóbili nos hace limpiarnos los ojos. ¿El momento del adiós? #GoSpursGo @spurs http://t.co/BRkBmVtiHF
Thu May 07 03:29:05 +0000 2015,#Spurs #GoSpursGo TIM DUNCAN 2011-12 PANINI LIMITED DECADE DOMINANCE #Jersey 32/99 http://t.co/PHpOWCywV1 #TimDuncan #NBA
Thu May 07 03:28:44 +0000 2015,@NancyFrazer1 Optimistic about off-season though! #GoSpursGo
Thu May 07 03:28:35 +0000 2015,Really Houston...#GoSpursGo
Thu May 07 03:27:26 +0000 2015,se extraña san antonio  el manu  timmy  tony  pop  kawhi  patty  boris  el bonito de green... saben #gospursgo :(
Thu May 07 03:26:28 +0000 2015,RT @DeniseFlores: OMG I wanna shoot paintball with the @spurs!! #GoSpursGo http://t.co/cORmBZlc0v
Thu May 07 03:25:21 +0000 2015,RT @DVSmartin: "@NancyFrazer1: Have not felt right since we left the playoffs.like a duck out of water#SpursNation  #GoSpursGo" Basketball …
Thu May 07 03:21:20 +0000 2015,RT @DeniseFlores: OMG I wanna shoot paintball with the @spurs!! #GoSpursGo http://t.co/cORmBZlc0v
Thu May 07 03:21:05 +0000 2015,RT @DeniseFlores: OMG I wanna shoot paintball with the @spurs!! #GoSpursGo http://t.co/cORmBZlc0v
Thu May 07 03:20:15 +0000 2015,RT @DeniseFlores: OMG I wanna shoot paintball with the @spurs!! #GoSpursGo http://t.co/cORmBZlc0v
Thu May 07 03:19:51 +0000 2015,@Leegrad82 Thanks very much!!! And keep supporting our Spurs !!! They will be back next season! #GoSpursGo
Thu May 07 03:19:13 +0000 2015,OMG I wanna shoot paintball with the @spurs!! #GoSpursGo http://t.co/cORmBZlc0v
Thu May 07 03:14:05 +0000 2015,RT @spurs: Thank you #SpursFamily for another great season! We ❤️‍ You! #GoSpursGo    🎥: http://t.co/A54Mw0AEyb http://t.co/tfOtQKL7M4
Thu May 07 03:13:27 +0000 2015,RT @SanASpurs: Spurs drown sorrows with paint ball outing: Their season over about six weeks earlier than they're ... http://t.co/7lFAgj8KR…
Thu May 07 03:13:10 +0000 2015,#Spurs #GoSpursGo TIM DUNCAN rc 1997 98 FINEST REFRACTORS # 306 true BGS 10 1/1 SPURS http://t.co/nC0yWonASW #TimDuncan #NBA
Thu May 07 03:11:21 +0000 2015,fuk da clippers #GoSpursGo
Thu May 07 03:08:35 +0000 2015,So mad the #spurs should be playing now... 😡😢😣😤... #GoSpursGo
Thu May 07 03:03:32 +0000 2015,Gracias @manuginobili. Cual sea tu decisión  lo mejor eternamente. Alguna vez te culpé por perder  muchas callé que x ti ganamos #GoSpursGo
Thu May 07 03:02:41 +0000 2015,🏆🏆🏆🏆🏆 #NBAChampions #GoSpursGo  https://t.co/DWUcxAf2Kr
Thu May 07 02:59:40 +0000 2015,Manu Ginóbili nos hace limpiarnos los ojos. ¿El momento del adiós? #GoSpursGo @spurs http://t.co/BRkBmVtiHF
Thu May 07 02:59:04 +0000 2015,RT @thespurslogo: Probably one of the best GIFs out there. #GoSpursGo http://t.co/0aMEQKqNpe
Thu May 07 02:58:08 +0000 2015,RT @GoSpursGoMemes: Meanwhile on Vacation..... #GoSpursGo #RaceForSeis #SpursNation #Spurs http://t.co/chjx0nFgWL
Thu May 07 02:58:05 +0000 2015,RT @thespurslogo: Probably one of the best GIFs out there. #GoSpursGo http://t.co/0aMEQKqNpe
Thu May 07 02:57:06 +0000 2015,#Spurs #GoSpursGo 2004-05 Fleer Throwbacks Auto/#Jersey/Patch HOBBY Hot Pack DWYANE WADE TIM DUNCAN http://t.co/WcKDPpbROg #TimDuncan #NBA
Thu May 07 02:53:45 +0000 2015,I spy @jhowieee 😂 Did you win at least?! #paintball 🔴🔵 #gospursgo #SpursFan #spursgram #spurslive… https://t.co/DfT0tv21yu
Thu May 07 02:51:34 +0000 2015,Probably one of the best GIFs out there. #GoSpursGo http://t.co/0aMEQKqNpe
Thu May 07 02:48:02 +0000 2015,"@NancyFrazer1: Have not felt right since we left the playoffs.like a duck out of water#SpursNation  #GoSpursGo" Basketball ended TOO early!
Thu May 07 02:46:03 +0000 2015,@SBaselineBums  You're welcome.  #GoSpursGo
Thu May 07 02:43:28 +0000 2015,RT @JuicePick: Houston should be gettin their ass kicked right now. #saltyaf #GoSpursGo
Thu May 07 02:41:37 +0000 2015,#Spurs #GoSpursGo TIM DUNCAN ROOKIE #Card PRIZM 1997 SCORE BOARD #1A GRADED REFRACTOR WAKE FORREST http://t.co/zFAXVUz9AS #TimDuncan #NBA
Thu May 07 02:41:09 +0000 2015,RT @GoSpursGoMemes: Meanwhile on Vacation..... #GoSpursGo #RaceForSeis #SpursNation #Spurs http://t.co/chjx0nFgWL
Thu May 07 02:40:51 +0000 2015,Spurs drown sorrows with paint ball outing: Their season over about six weeks earlier than they're ... http://t.co/7lFAgj8KRB #GoSpursGo
Thu May 07 02:40:41 +0000 2015,Watching #NBAPlayoffs these days feels different - no @spurs to cheer for anymore. Still a loyal @spurs fan! #GoSpursGo #SpursNation
Thu May 07 02:40:10 +0000 2015,“@SugarKLeonard2: Spurs Family http://t.co/cGhUYiWLe2” #GoSpursGo
Thu May 07 02:38:43 +0000 2015,@George_Hill3 @spurs #GoSpursGo http://t.co/S6m9HhOOOd
