created_at,text
Thu May 07 04:34:10 +0000 2015,L L NBA #AtlantaHawks Playoffs Atlanta Hawks Mitchell Ness Logo Snapback Cap Hat Red With Navy Brim #Hawks #Sports http://t.co/QOAglhGFW5
Thu May 07 04:30:10 +0000 2015,Atlantic Notes :Lopez  Nets  Jones http://t.co/dor0mIcoGJ #Hawks #NBA
Thu May 07 04:29:52 +0000 2015,BigReporter: http://t.co/idsAyAULNN #Grizzlies #Hawks win  both #series at 1-1 #news http://t.co/Q5uwPaSC2J
Thu May 07 04:28:08 +0000 2015,TIX http://t.co/MY3Vif2208 Atlanta #Hawks Playoffs Round 2 Game 5 - Courtside Sec 121  Row KK - 2… http://t.co/BHI7PbESex #NBA #Ticket
Thu May 07 04:27:09 +0000 2015,#Sports #Basketball Nike Shareef Abdur-Rahim Sewn Atlanta #Hawks Jersey Size Youth XL throwback http://t.co/T3QqTVFGKM #Bestseller #Buy
Thu May 07 04:27:08 +0000 2015,#NBA #AtlantaHawks NIKE REWIND 1974 BLACK ATLANTA HAWKS RETRO NBA THROWBACK MEN'S JACKET JERSEY L http://t.co/MEEe7h2A8A #Hawks #Sports
Thu May 07 04:25:45 +0000 2015,http://t.co/b0Od0fW8od Reebok Size 9.5 US Twilight zone Pump Dominique Wilkins Atlan #Hawks http://t.co/IpuKS0KICr
Thu May 07 04:24:47 +0000 2015,We already forewarned our coworkers in MX that we need to get back to AZ in time for the #Hawks game tomorrow. 😍 #CommitToTheIndian
Thu May 07 04:23:34 +0000 2015,#Health #Solution Jump Start Diet With Cleanse - Is An Effective Cleanse Your Answer to Jump Start… http://t.co/oJvI6CZ5Zn #Hawks #Fitness
Thu May 07 04:23:15 +0000 2015,【門田博光】  行け それ打て門田 右へ左へホームラン 行け それ打て門田 めざせ６０本 #Nankai #Hawks #sbhawks
Thu May 07 04:22:39 +0000 2015,L L NBA #AtlantaHawks Men NBA Reebok # 2 Joe Johnson Atlanta Hawks Basketball Jersey ( 2XL )Orange NWT #Hawks… http://t.co/WSd7VPxyGU
Thu May 07 04:20:02 +0000 2015,RT @NathanWhite1718: HVA vs FARRAGUT this Friday. Everybody be there. Huge game. #DistrictChampionship #Hawks #HVAvsFarragutInEverySport #G…
Thu May 07 04:18:14 +0000 2015,@johncarlson_89 always felt u were  underated/undervalued. bummed when u left #hawks. Enjoy ur new chapter   future adventures. #classact
Thu May 07 04:17:52 +0000 2015,Real time insights from #Hawks star Havi Havivola on #TheDownload jkaufs wgnradio https://t.co/627xLLDTV6
