created_at,text
Thu May 07 04:31:35 +0000 2015,#Knicks #Cards #Carmelo #Anthony #17 2014-15 Panini Paramount DUFEX KNICKS http://t.co/gHJootRaZK #Card #Deals
Thu May 07 04:31:34 +0000 2015,#Apparel #Souvenirs #NewYork #Knicks Vintage Hardwood Classics Jacket Sz.XL Sewn On Letters 1972-73 http://t.co/OQZnkVP9gS #NBA #Auction
Thu May 07 04:23:38 +0000 2015,http://t.co/QZcryIwD3O Jim Dolan: Isiah Thomas can build a winner - ESPN (blog)  #Knicks http://t.co/JiS87sJnfE
Thu May 07 04:20:34 +0000 2015,L #NBA #Knicks Latrell Sprewell #NewYork Knicks Play Makers Bobblehead NIB #Offers #Deals http://t.co/L3sS9ZCOu6
Thu May 07 04:19:11 +0000 2015,#Knicks #Autographs BERNARD KING NEW YORK KNICKS ACTION SIGNED 8x10 http://t.co/JBkSETXmie #Autograph #Sale
Thu May 07 04:17:04 +0000 2015,#WeightLoss #Fit Jump Start Diet With Cleanse - Is An Effective Cleanse Your Answer to Jump Start… http://t.co/a7XFkRZe8K #Knicks #Sports
Thu May 07 04:16:34 +0000 2015,#Baseball #NBA #NewYork #Knicks LARRY JOHNSON AND WASHINGTONS JUAN HOWARD SET OF 2 HEADLINERS http://t.co/xEGQREBgZB #onsale #Discount
Thu May 07 04:16:33 +0000 2015,#NBA #Knicks 2014-15 Immaculate TIM HARDAWAY JR #NewYork Knicks Base Card 51/99 http://t.co/g7etTYFnzV #Offers #Deals
Thu May 07 04:16:09 +0000 2015,#Knicks #Cards Phil Jackson #Basketball card  1976-7#Topps # 77  Forward  New York Knicks http://t.co/PmZ3bpDMSt #Card #Deals
Thu May 07 04:15:07 +0000 2015,Draft History :Dennis Lindsey http://t.co/Krs7D5IllY #knicks #NBA
Thu May 07 04:10:37 +0000 2015,L #Knicks #Clothing Nike Air Jordan Spizike Blue/Orange-Blk-Wht New York Knicks '11 315371-405 SZ 11 #eBay #Auction http://t.co/efd4QFXxFc
Thu May 07 04:10:30 +0000 2015,Remember when the #Knicks were actually good? Pepperidge Farms does.
Thu May 07 04:07:15 +0000 2015,RT @GregLogan1: Battle of the ex-#Knicks: Crawford vs. Ariza. Can't ever get mad at Crawford for shot selection. He's a shhotsr's shooter.
Thu May 07 04:06:41 +0000 2015,Love Pablo Prigioni  but his playoffs success is a bitter reminder of how toxic the #Knicks are. #HOUvsLAC
Thu May 07 04:05:32 +0000 2015,Chandler thanks Knick mates for   amp quot poor defense  amp quot | http://t.co/XaK3W4u1VG #Knicks
Thu May 07 04:05:05 +0000 2015,L #Baseball #NBA 14-15 Select #46 JOHN STARKS Die Cut Auto 40/99 #Knicks #onsale #Discount http://t.co/pYdV4jGQwi
Thu May 07 04:01:36 +0000 2015,Love watching Pablo dominate with a good team in the #NBAPlayoffs! He deserves it after being stuck as a backup with the #Knicks #HOUvsLAC
Thu May 07 04:00:08 +0000 2015,2015 men bike #cycling suit jersey bib shorts kits #riding shirt straps #knicks s  LINK: http://t.co/p7HeeLgcgd http://t.co/QOyUoyYZoN
Thu May 07 04:00:08 +0000 2015,#Baseball #NBA Adidas Swingman NBA #Jersey #Knicks Metta World Peace Blue sz L http://t.co/1JFh7Biu2I #onsale #Discount
Thu May 07 04:00:07 +0000 2015,#NBA #Knicks Nike Air Max Hyperposite Amar'e Stoudemire Knicks PE Basketball Shoes size 10 http://t.co/3oT2A0XgD3 #Offers #Deals
Thu May 07 04:00:06 +0000 2015,#Knicks #Clothing New York Knicks - Adjustable Hats - One Black/ One Royal Blue http://t.co/96RnRALwUW #eBay #Auction
Thu May 07 03:59:37 +0000 2015,L #Knicks #Clothing Nike Air Jordan Spizike Orange/Blue-Blk-Wht New York Knicks '11 315371-805 SZ 11 #eBay #Auction http://t.co/mnVHTDAaDY
Thu May 07 03:59:37 +0000 2015,#Apparel #Souvenirs #NewYork #Knicks #20 #Jersey Kids Small  Houston Pre Owned http://t.co/phMW4otbDH #NBA #Auction
Thu May 07 03:59:36 +0000 2015,#Knicks #Cards #Carmelo #Anthony #Jersey Select # 15 / 75 Select Swatches New York Knicks http://t.co/lwnWu5q4fs #Card #Deals
Thu May 07 03:59:34 +0000 2015,Battle of the ex-#Knicks: Crawford vs. Ariza. Can't ever get mad at Crawford for shot selection. He's a shhotsr's shooter.
Thu May 07 03:58:28 +0000 2015,Mike Woodson moves to LA. Immediately gets hipster glasses . Everything else the same. Lol #CLIPPERSvsROCKETS #Knicks
Thu May 07 03:57:19 +0000 2015,Crawford v Ariza.   #knicks #vintage
Thu May 07 03:54:06 +0000 2015,L #Baseball #NBA Chris Duhon 2004 SAGE Rookie Autograph 7/660 #A9 Chicago Bulls #Knicks Magic $10 #onsale #Discount http://t.co/8uPZuIuDjX
Thu May 07 03:50:03 +0000 2015,Atlantic Notes :Lopez  Nets  Jones http://t.co/fZs9rZ3IxF #knicks #NBA
Thu May 07 03:49:18 +0000 2015,L #NBA #Knicks Adidas Swingman NBA #Jersey Knicks Amare Stoudemire Black Vibe sz M #Offers #Deals http://t.co/NOrs9U9kKj
Thu May 07 03:47:52 +0000 2015,#NBA #Knicks - Adidas NBA 2015 All Star New York Carmelo Anthony Swingman Jersey #7 Jun... http://t.co/J1w1rF6JzY http://t.co/lQmogZfBKD
Thu May 07 03:47:52 +0000 2015,#NBA #Knicks - New York Knicks #20 Jersey Kids Small  Houston Pre Owned:  $9.99End Date... http://t.co/5jIdylxmLB http://t.co/lQmogZfBKD
Thu May 07 03:47:51 +0000 2015,#NBA #Knicks - Adidas NBA 2015 All Star New York Carmelo Anthony Swingman Jersey #7 Jun... http://t.co/Oj60qfoROB http://t.co/k33Sm3HFUt
Thu May 07 03:47:51 +0000 2015,#NBA #Knicks - New York Knicks #20 Jersey Kids Small  Houston Pre Owned:  $9.99End Date... http://t.co/WABzZQcD0j http://t.co/k33Sm3HFUt
Thu May 07 03:47:07 +0000 2015,#WeightLoss #Fit Weight Loss Continues to Be Unreachable - Is Stress One of the Factors? http://t.co/uzx1u3ZEyE #Knicks #Sports
Thu May 07 03:47:07 +0000 2015,#Knicks #Autographs David Lee Signed #NBA Basketball  Golden State Warriors  New York… http://t.co/0knNJiqJMs #Autograph #Sale
Thu May 07 03:44:46 +0000 2015,#Baseball #NBA #NewYork #Knicks Sprewell NBA #Jersey XXL http://t.co/EAnmv4e60P #onsale #Discount
Thu May 07 03:44:45 +0000 2015,#NBA #Knicks Latrell Sprewell #NewYork Knicks Play Makers Bobblehead NIB http://t.co/Z0XzRwPzT1 #Offers #Deals
Thu May 07 03:44:45 +0000 2015,#Knicks #Clothing New York Knicks #20 #Jersey Kids Small  Houston Pre Owned http://t.co/wIpSlC11U7 #eBay #Auction
Thu May 07 03:44:08 +0000 2015,L #NBA #Knicks 2014-15 Select Hall of Fame Fame Game WALT FRAZIER Auto On Card 37/60 Knicks #Offers #Deals http://t.co/MLHBd4fGwa
Thu May 07 03:44:05 +0000 2015,#Knicks #Cards 1986 - 1987 Fleer Patrick Ewing New York Knicks #32 #Basketball SGC 8.5 !! http://t.co/0ylxzDnqjo #Card #Deals
Thu May 07 03:42:47 +0000 2015,It would surprise no one if the #Knicks sent a contract offer to Shaq before the end of the night.
Thu May 07 03:39:03 +0000 2015,Vintage #JamalCrawford--1 for 11 followed by 3 straight driving hoops. Recall when he hit super deep 3-ptr for #Knicks to win at #ToyotaCtr.
Thu May 07 03:38:42 +0000 2015,Go #Knicks! http://t.co/jq0lypL4ZT #NBA #follow #basketball #NewYorkKnicks
Thu May 07 03:38:34 +0000 2015,L L #Knicks #Clothing *Flash Sale* New York Knicks #NBA Mitchell   amp amp  Ness Snapback Hat #Basketball Cap #eBay… http://t.co/zYInkd99Lx
Thu May 07 03:33:06 +0000 2015,L #Knicks #Cards MINT!! 1995-96 FINEST MYSTERY NO. M-38 JOHN STARKS NEW YORK KNICKS #Card #Deals http://t.co/Cy1KoJhWzS
Thu May 07 03:30:30 +0000 2015,Playoff Spot Still in Reach for the Heat| http://t.co/UvuKFHifd0 #Knicks
Thu May 07 03:29:06 +0000 2015,#Knicks #Clothing Nike Air Jordan Spizike Blue/Orange-Blk-Wht New York Knicks '11 315371-405 SZ 11 http://t.co/M3g9Hj9OFW #eBay #Auction
Thu May 07 03:29:05 +0000 2015,#Baseball #NBA 14-15 Select #46 JOHN STARKS Die Cut Auto 40/99 #Knicks http://t.co/p3Px4H9Fpd #onsale #Discount
Thu May 07 03:29:05 +0000 2015,#NBA #Knicks NEW RARE Nike LeBron 4 Birthday KNICKS Edition Sz 16 Retro Jordan Foamposite KD http://t.co/aedaJlA2OW #Offers #Deals
Thu May 07 03:28:20 +0000 2015,#Apparel #Souvenirs #NewYork #Knicks Black Large Short Sleeve Tee T-Shirt http://t.co/kYTxgCDzAT #NBA #Auction
Thu May 07 03:28:20 +0000 2015,#Knicks #Cards #Carmelo #Anthony Patrick Ewing Prizm Select #Basketball Insert Parallel Knicks Lot http://t.co/38ZQpf3miu #Card #Deals
Thu May 07 03:25:07 +0000 2015,RT @D1nONLYMcFLY: S/o to @disishiphop for reaching out to the kid. If you haven't already peep my latest track #knicks… https://t.co/YYejxp…
Thu May 07 03:23:06 +0000 2015,L #Baseball #NBA Vintage Allan Houston #NewYork #Knicks #Jersey 40 Medium Champion MINT NICE #onsale #Discount http://t.co/HUCvR2fUGi
Thu May 07 03:20:20 +0000 2015,Reassembling Woeful Knicks Tops Phil Jacksons To-Do List http://t.co/LEdLlFE4Yc #knicks #NBA
Thu May 07 03:20:12 +0000 2015,How Stephen Curry's agent feverishly tried to push star to Knicks http://t.co/FWSBshHXYy via @nypost #Knicks #Warriors #NBA
Thu May 07 03:18:14 +0000 2015,Isiah Thomas is a creepy guy. #Liberty     #Knicks
Thu May 07 03:17:36 +0000 2015,#WeightLoss #Fit Do Not Fall For the Claims of All Weight Loss Natural Diet Supplement http://t.co/ACQYx7O1e1 #Knicks #Sports
Thu May 07 03:15:21 +0000 2015,RT @nyknicks: On This Date in 1990…Ewing leads #Knicks to one of @NBA's most stunning playoff comebacks.  http://t.co/P6mX0NNMZi http://t.c…
Thu May 07 03:14:37 +0000 2015,RT @nyknicks: On This Date in 1965… #Knicks select Princeton's Bill Bradley in the @NBA Draft.  http://t.co/P6mX0NNMZi http://t.co/jj1zP780…
Thu May 07 03:13:17 +0000 2015,#Knicks #Clothing Nike Air Jordan Spizike Orange/Blue-Blk-Wht New York Knicks '11 315371-805 SZ 11 http://t.co/5t7Yh1MXOb #eBay #Auction
