created_at,text
Thu May 07 00:18:53 +0000 2015,RT @kc1nyk: Report: Talks with #NBAKings #Kings for #Nets PG-SG Deron Williams probably won't resurface.
Wed May 06 20:45:44 +0000 2015,RT @kc1nyk: Report: Talks with #NBAKings #Kings for #Nets PG-SG Deron Williams probably won't resurface.
Wed May 06 20:18:18 +0000 2015,Report: Talks with #NBAKings #Kings for #Nets PG-SG Deron Williams probably won't resurface.
Wed May 06 20:08:39 +0000 2015,Report: #NBAKings #Kings  #Rockets and #Hornets are other possible suitors for #Nuggets star PG Ty Lawson. #Celtics.
Wed May 06 18:26:29 +0000 2015,Report: #Celtics have been enamored with #NBAKings superstar C-PF D. Cousins for years  but #Kings owner Vivek Ranadive wouldn't trade him.
Wed May 06 18:20:58 +0000 2015,#NBAKings #Kings officially hired #Sixers #76ers assistant coach Chad Iske as associate head coach (lead assistant coach).
Wed May 06 14:56:01 +0000 2015,Report: #NBAKings #Kings executive Vlade Divac in awe of sueprstar C-PF DeMarcus Cousins. #Celtics.
Tue May 05 14:59:15 +0000 2015,Nice  @NumbersNBA! You're top of #nbakings! Tired of your inbox being full of junk? Try Unroll.Me http://t.co/XcnfI09uSN
Tue May 05 14:05:50 +0000 2015,RT @NumbersNBA: PG David Stockton (@dstockton32) will wear number 9  last worn by Ramon Sessions yesterday. #NBAKings http://t.co/rgGAnxESkb
Tue May 05 13:31:42 +0000 2015,@CaliforniaPicz Top of #nbakings today! Tired of unwanted subscription emails? Try Unroll.Me: http://t.co/XcnfI09uSN
Tue May 05 13:15:14 +0000 2015,#NBAKings fans are really  well  purple! http://t.co/mq0MsFDAQV
Mon May 04 16:43:58 +0000 2015,@HashOffKings Top of #nbakings leaderboard! Need to clean up your inbox? Unroll.Me can help: http://t.co/XcnfI09uSN
Mon May 04 14:59:26 +0000 2015,@ARoyalPain Top of #nbakings leaderboard! Need to clean up your inbox? Unroll.Me can help: http://t.co/XcnfI09uSN
Mon May 04 13:56:23 +0000 2015,Kicking off Final Grades Week with a look at Cousins  Hollins  and Bhullar - http://t.co/CJyYCHWni2 via @TonyXypteras #Sacramento #NBAKings
Mon May 04 00:18:13 +0000 2015,RT @kc1nyk: Report: #Celtics hope to pry away #NBAKings #Kings superstar C-PF DeMarcus Cousins with a package of picks and young talent.
