created_at,text
Thu May 07 04:35:12 +0000 2015,#NBA #Magic Penny Hardaway - #OrlandoMagic - Mini Poster - SI For Kids Magazine http://t.co/jU4GBres7n #Bargains #Forsale
Thu May 07 04:35:11 +0000 2015,#Basketball #Magic Penny Hardaway - #OrlandoMagic - Mini Poster - SI For Kids Magazine http://t.co/V8wln6tHaz #Auction #Cheap
Thu May 07 04:35:08 +0000 2015,#NBA Vintage Grant Hill Nike Basketball #Jersey Sz 2XL Sewn #OrlandoMagic http://t.co/1pXRFhkBaH #BestSeller #Deals
Thu May 07 04:35:08 +0000 2015,#NBA 2013-14 Panini Crusade Nikola Vucevic #OrlandoMagic 9/10 http://t.co/5YKp4M5s7w #Card #Cards
Thu May 07 04:34:23 +0000 2015,L L A #NBA 1994-95 Stadium Club #32 #ShaquilleONeal #OrlandoMagic S16150 #Card #Cards http://t.co/GSFMDZEDzS
Thu May 07 04:19:20 +0000 2015,#NBA #Magic #OrlandoMagic NBA T Shirt Mens Size XL http://t.co/Ei3itUtv17 #Bargains #Forsale
Thu May 07 04:19:19 +0000 2015,#Basketball #Magic 100% Authentic Hardaway Mitchell    Ness #OrlandoMagic NBA #Jersey Size XL 48 http://t.co/WF6SudSeGg #Auction #Cheap
Thu May 07 04:19:19 +0000 2015,#NBA NWT- NBA L Mens #OrlandoMagic Shaquille O'Neal basketball #Jersey NEW http://t.co/xSgSQ7qhad #BestSeller #Deals
Thu May 07 04:19:17 +0000 2015,#NBA 1992-93 Upper Deck McDonald's #ShaquilleONeal Rookie #P43 #OrlandoMagic MBS 9 http://t.co/2xqLqMTT8L #Card #Cards
Thu May 07 04:18:05 +0000 2015,L #NBA 2014-15 Panini Immaculate Acetate Patch #ShaquilleONeal /32 #OrlandoMagic #Card #Cards http://t.co/F53wOijLKf
Thu May 07 04:02:45 +0000 2015,#NBA Tracy Mcgrady #OrlandoMagic Swingman #Jersey http://t.co/bWzX898Uao #BestSeller #Deals
Thu May 07 04:02:42 +0000 2015,#NBA #Magic 100% Authentic Hardaway Mitchell    Ness #OrlandoMagic NBA #Jersey Size XL 48 http://t.co/GzTLHXohFS #Bargains #Forsale
Thu May 07 04:02:42 +0000 2015,#Basketball #Magic Vintage NBA NEW NOS #OrlandoMagic Champion Brand COOL T shirt L http://t.co/3slavnzrRE #Auction #Cheap
Thu May 07 04:02:40 +0000 2015,#NBA 1994-95 Stadium Club #32 #ShaquilleONeal #OrlandoMagic S16151 http://t.co/m2Cu3PmZhA #Card #Cards
Thu May 07 04:01:16 +0000 2015,L L #NBA 1994-95 SP #121 #ShaquilleONeal #OrlandoMagic S16097 #Card #Cards http://t.co/BcIUbB050R
Thu May 07 03:56:24 +0000 2015,#NBA #OrlandoMagic - Orlando Magic NBA 8" Plush Bear with Pink Hoodie:  $2.95End Date: ... http://t.co/VDEqbJCMiQ http://t.co/k33Sm3HFUt
