created_at,text
Thu May 07 04:01:46 +0000 2015,#NBA #76ers- 1991 Charles Barkley/Philadelphia 76ers Sealed NBA Hoops 8" x 10" Lot of 1... http://t.co/cUdFh1H8pK http://t.co/k33Sm3HFUt
Thu May 07 03:37:22 +0000 2015,#76ers #Philadelphia76ers Clippers' Paul out against Houston in Game 2 http://t.co/9eYTMSJCl5
Thu May 07 02:56:27 +0000 2015,#NBA #76ers- PHILA SIXERS 76ers NBA SNAP BUTTON-UP JERSEY STITCHED by NIKE MENS XL:  $9... http://t.co/krfhnUhOh8 http://t.co/k33Sm3HFUt
Thu May 07 02:56:26 +0000 2015,#NBA #76ers- philadelphia 76ers Shorts 2000s Allen Iverson Medium:  $25.00End Date: Fri... http://t.co/fpZSo8pJTB http://t.co/k33Sm3HFUt
Thu May 07 02:56:26 +0000 2015,#NBA #76ers- Vintage Jerry Stackhouse Philadelphia 76ers Champion Jersey size 44:  $69.... http://t.co/sYUDBaPrEp http://t.co/k33Sm3HFUt
Thu May 07 02:56:25 +0000 2015,#NBA #76ers- Wilt Chamberlain Philadelphia 76ers hardwood classics vintage reebok 3xl e... http://t.co/X8uYWqmkqM http://t.co/k33Sm3HFUt
Thu May 07 02:51:31 +0000 2015,Philadelphia 76ers Don't Need Many Aging Veterans - RantSports http://t.co/unhrQwTXuP #Philadelphia #NBA #76ers #sixers
Thu May 07 02:48:55 +0000 2015,RT @jonjohnsonwip: Next 3 key dates on Phila sports calendar revolve around #76ers: -Draft Lottery on 19th -Draft 6/26 -Embiid summer leagu…
Thu May 07 02:18:54 +0000 2015,#76ers! http://t.co/jq0lypL4ZT #NBA #follow #basketball #Philadelphea76ers
Thu May 07 01:49:36 +0000 2015,#NBA #76ers- ALLEN IVERSON Reebok PHILADELPHIA 76ers SIXERS Black Sewn Jersey - Size 58... http://t.co/eVPfFSpWyu http://t.co/k33Sm3HFUt
Thu May 07 01:49:36 +0000 2015,#NBA #76ers- NWT Mens Allen Iverson #3 Philadelphia 76ers Sixers Split Jersey SZ L SEWN... http://t.co/uqV4pUoArS http://t.co/k33Sm3HFUt
Thu May 07 01:49:36 +0000 2015,#NBA #76ers- Charles Barkley 1984-85 PHILADELPHIA 76ers Jersey (MED  LG  XL  2X or 3X):... http://t.co/W2tZcERsDF http://t.co/k33Sm3HFUt
Thu May 07 01:41:14 +0000 2015,The #Bulls played such bad basketball the #76ers GM is taking notes.
Thu May 07 01:02:26 +0000 2015,RT @jonjohnsonwip: Next 3 key dates on Phila sports calendar revolve around #76ers: -Draft Lottery on 19th -Draft 6/26 -Embiid summer leagu…
Thu May 07 00:09:51 +0000 2015,I'll Be The 1st Overall Pick in the 2017 NBA Draft!! #Bulls #76ers #Lakers #Thunder #Heat #Warriors #Knicks #Spurs #Bucks #Kings 🏀🏀🏀🏀🏀
Thu May 07 00:05:04 +0000 2015,#NBA #76ers- AUTHENTIC Nike Philadelphia Sixers 76ers Allen Iverson Away Swingman Jerse... http://t.co/OtXUH3IRhD http://t.co/k33Sm3HFUt
Thu May 07 00:05:04 +0000 2015,#NBA #76ers- YOUTH Vintage ALLEN IVERSON JERSEY Small BOYS Philadelphia Sixers 76ERS #3... http://t.co/MVeGVAu1vY http://t.co/k33Sm3HFUt
Thu May 07 00:05:04 +0000 2015,#NBA #76ers- PHILADELPHIA 76ERS Mitchell    Ness White NBA Authentic Warmup Jacket Sz 40... http://t.co/Dk43ySRAaU http://t.co/k33Sm3HFUt
Wed May 06 23:49:23 +0000 2015,RT @jonjohnsonwip: Next 3 key dates on Phila sports calendar revolve around #76ers: -Draft Lottery on 19th -Draft 6/26 -Embiid summer leagu…
