created_at,text
Thu May 07 04:28:02 +0000 2015,http://t.co/G8m8wClR5s Utah Jazz hold first pre-draft workouts of summer (The Associ #NBA #NETS http://t.co/DtL8R02JP9
Thu May 07 04:21:01 +0000 2015,RT @TheBKGame: #Nets GM King: happy about continuity with coaching  but may be time to “split” w/“Big 3” http://t.co/yImcE96Bou
Thu May 07 04:20:01 +0000 2015,http://t.co/j5NQre0uRX King Says Signing Lopez and Young Are the Nets ' Top Priorities  #Nets http://t.co/eW387cRdim
Thu May 07 04:17:20 +0000 2015,RT @jenkers_en: #Tyler #Johnson #Nets Game-Winner with 1.1 Seconds Left http://t.co/wZO3dBR4Gu http://t.co/1qpHAl0fC1
Thu May 07 04:15:12 +0000 2015,Hawks Eliminate Nets in Game 6 http://t.co/bXWEoLubZX #Nets #NBA
Thu May 07 04:14:38 +0000 2015,#Tyler #Johnson #Nets Game-Winner with 1.1 Seconds Left http://t.co/wZO3dBR4Gu http://t.co/1qpHAl0fC1
Thu May 07 04:06:56 +0000 2015,End of the line for D-Will in Brooklyn?| http://t.co/nNlqBCXnfn #Nets #NBA
Thu May 07 03:56:19 +0000 2015,Yo! Hawks close out Nets with 41-point third quarter   http://t.co/N7socoXXxG  #atlanta #coach #hawks #nets
Thu May 07 03:55:39 +0000 2015,#ROCKETSvCLIPPERS this shot clock malfunction is reminiscent of game 1 between the #raptors vs #nets last year #NBA #NBAPlayoffs @NBA
Thu May 07 03:55:26 +0000 2015,Oh boy  really gonna love the manual shot clock for the #ROCKETSvCLIPPERS. Shades of the #Raptors and #Nets in game 1 last year.
Thu May 07 03:54:41 +0000 2015,This delay and situation reminds me of that #Raptors-#Nets game from last year. First game of the playoffs. #NBAPlayoffs
Thu May 07 03:50:12 +0000 2015,Barclays Center will host NBA draft for third straight year http://t.co/iLXQdilv3D #Nets #NBA
Thu May 07 03:31:54 +0000 2015,Lots of questions for Billy King  about free agency and a former franchise player| http://t.co/xr4INK3LvZ #Nets #NBA
Thu May 07 03:30:08 +0000 2015,RT @EVHS_FOOTBALL: Most damage Shaq has caused since he did this! #Magic #Nets https://t.co/9VxzNDsc8q #ShaqtinAFool #NBAonTNT @SHAQ @TheJe…
Thu May 07 03:27:42 +0000 2015,#nets #brooklyn Who the Brooklyn Nets Should Target in the 2015 NBA Draft: With the Brooklyn Nets'... http://t.co/ErmLRG9x8T #LetsGoNets
Thu May 07 03:25:11 +0000 2015,3 pressing questions Nets must answer in this critical offseason http://t.co/DwYfJcopFo #Nets #NBA
Thu May 07 03:11:06 +0000 2015,It's a #Nets thing! http://t.co/jq0lypL4ZT #NBA #follow #basketball #BrooklynNets
Thu May 07 03:05:56 +0000 2015,Most damage Shaq has caused since he did this! #Magic #Nets https://t.co/9VxzNDsc8q #ShaqtinAFool #NBAonTNT @SHAQ @TheJetOnTNT
Thu May 07 03:00:10 +0000 2015,Nets GM :Brook Lopez wanted back  other Big 3 are trade chips http://t.co/99DVDBFO1R #Nets #NBA
Thu May 07 02:47:55 +0000 2015,RT @brooklynsbeat: Lol Kevin Love to #Nets? Better chance you date Kate Upton. Where's the guy who ate a key? http://t.co/6w9O8TQwJf
Thu May 07 02:47:51 +0000 2015,#NBA #Nets - adidas Authentic Black Brooklyn Nets SnapBack Hat One Size fits Most Unise... http://t.co/jHtm38Fx7x http://t.co/k33Sm3HFUt
Thu May 07 02:47:36 +0000 2015,Lol Kevin Love to #Nets? Better chance you date Kate Upton. Where's the guy who ate a key? http://t.co/6w9O8TQwJf
Thu May 07 02:46:13 +0000 2015,Who the Brooklyn Nets Should Target in the 2015 NBA Draft #Nets #BKLYN http://t.co/wrgZKToRjM http://t.co/OgGxkXTf60
Thu May 07 02:35:53 +0000 2015,#Nets don't need big name stars  splashes. Just need to win.
Thu May 07 02:35:09 +0000 2015,Hoops Rumors Live Chat :3 PM CT http://t.co/IkVf3mrixn #Nets #NBA
Thu May 07 02:32:56 +0000 2015,Lot of #Nets roster rumor talk but nothing happens during the playoffs.
Thu May 07 02:24:41 +0000 2015,#nets #brooklyn Brooklyn Nets face uncertainty in the offseason: Brooklyn Nets GM Billy King said ... http://t.co/yFYDgl3ww8 #LetsGoNets
Thu May 07 02:14:55 +0000 2015,Derby City Sports Report: NBA News and Notes http://t.co/jnqPLygk55  #NBA #SeeRed #FearTheDeer #Nets
Thu May 07 02:10:09 +0000 2015,Southeast Notes :Carroll  Green  Wall http://t.co/CqlqDuzspF #Nets #NBA
Thu May 07 02:01:48 +0000 2015,RT @Priscilacdelgad: No voy a superar a chuy tirado en el sacate con la bici arriba JAJAJAJAJAJAJAJA #ÑETS
Thu May 07 01:50:19 +0000 2015,YOUR MESHNETS WON'T SAVE YOU ON MARS FAGGETS #mesh #nets #meshnets #mars #space #notcom #gamergate
Thu May 07 01:47:13 +0000 2015,Nets Rally Falls Short in 107-97 Loss to Hawks in Game 5 in Atlanta| http://t.co/jTWFJBHN05 #Nets #NBA
