created_at,text
Thu May 07 04:34:26 +0000 2015,Pssssst.....IT'S MY FREAKING BIRTHDAY!!!!  TURNUP  TURNUP  TURNUP!! #HBD #May7 #Taurus #Bulls #Strong… https://t.co/AwzG2pBTNv
Thu May 07 04:34:21 +0000 2015,L #Basketball #Bulls #DerrickRose OJ MAYO DUAL AUTHENTIC RELIC ROOKIES 2008-09 #NBA SP ROOKIE… #Buzz #Collectible http://t.co/8qkqaqF95l
Thu May 07 04:34:16 +0000 2015,RT @NBAenlinea: #Final #Cavs vs #Bulls 106-91 James 33 PTs  8 REB y 5 AST  Irving 21 PTS Shumpert 15 PTS y 7 REB  Butler 18 PtS  2 REB Rose…
Thu May 07 04:34:09 +0000 2015,RT @NBAenlinea: #Halftime #Cavs vs #Bulls 64-45 James 22 PTs  5 REB y 3 AST  Irving 11 PtS Shumpert 13 PTS y 6 REB  Butler 11 PtS  1 REB y …
Thu May 07 04:33:49 +0000 2015,RT @DavidHaugh: Cavs were just better and played like team that knew it couldn't fall behind 2-0. But #Bulls can recover  adjust Friday  fe…
Thu May 07 04:33:13 +0000 2015,Oh  so the #Bulls are pulling off the old rope a dope against LeBron James and #Cavs of course! http://t.co/hNRy79wYl2
Thu May 07 04:32:40 +0000 2015,#Sporting #Goods #DerrickRose 2013-14 PANINI GOLD STANDARD METAL PLATE #3 #Bulls http://t.co/0IPvR0MOMl #Forsale #Onsale
Thu May 07 04:32:39 +0000 2015,#Basketball #Bulls 2014-15 Panini Immaculate #DerrickRose  NOAH  BUTLER  GIBSON Quad #Jersey 6/49 http://t.co/1epFsmxkHm #Buzz #Collectible
Thu May 07 04:32:38 +0000 2015,#DerrickRose #Bulls 08 Hot Prospects*Derrick Rose*3 Color Jersey Autograph Rookie /199 BGS Rare… http://t.co/zAbB743fho #NBA #Collectibles
Thu May 07 04:32:35 +0000 2015,TIX http://t.co/QPfcVZgqXO 2 Playoff #Ticket Cleveland #Cavaliers Game 5 Chicago #Bulls 226 Center… http://t.co/KP2VTMQEim #Tickets #Deals
Thu May 07 04:32:34 +0000 2015,TIX http://t.co/WNmQiCuOIw 1-8 Chicago #Bulls Cavaliers Playoff tickets Game 4 Sunday 5/10 @… http://t.co/zK7Su4JhUb #Tickets #Ticket
Thu May 07 04:31:46 +0000 2015,LeBron on offensive as Cavs even series wiv #Bulls  http://t.co/tjwyubNDvC #Cleveland #James #Playoffs
Thu May 07 04:31:13 +0000 2015,Well...at least we took one win from their home court. #Bulls
Thu May 07 04:30:14 +0000 2015,HAPPY BIRTHDAY TO ME 🍰🎂🎁🎀🎉💃 #HBD #May7 #Taurus #Bulls #Strong #Ambitious #Determination… https://t.co/vIa1VYT6xX
Thu May 07 04:28:07 +0000 2015,Game 2 takeaway: LeBron James has arrived. Can the #Bulls handle it? #LeBronJames #Rose #TheGame http://t.co/ois2JQy5FA
Thu May 07 04:27:38 +0000 2015,http://t.co/olq1C7TGBj Bulls outplayed in Cleveland  #NBA #Bulls http://t.co/SzouQ3e4oI
Thu May 07 04:27:10 +0000 2015,RT @NBAenlinea: #Bulls Fuertes rumores aseguran que Jimmy Butler seria nombrado mañana Most Improved Player award de la temporada. http://t…
Thu May 07 04:26:38 +0000 2015,TIX http://t.co/WNmQiCuOIw Chicago #Bulls Cleveland Cavaliers Round 2 Game 4 Tickets Section 109… http://t.co/2HACzkYiGk #Tickets #Ticket
Thu May 07 04:26:12 +0000 2015,HOLY SHITE!!! DUNLEAVY WANTS A CHANCE AT THAT RING!!! #BullsTalk #Bulls  https://t.co/H4h4v0Jaey
Thu May 07 04:26:04 +0000 2015,It's ALL IN TIME for the #Cavs heading to the #Bulls on Friday with the #CavsvsBulls series tied at one!! #ALLinCLE #CavsNation #CavsMania
Thu May 07 04:25:57 +0000 2015,RT @RUVILLA: RT for #Bulls http://t.co/nhdZMt9RLG
