created_at,text
Thu May 07 04:34:30 +0000 2015,http://t.co/Z8inxXFxvk: Wizards of Waverly Place Season 2 Episode 6... http://t.co/3f70mUwg6s #episode #saving #tech #waverly #wizards
Thu May 07 04:34:22 +0000 2015,@TherealTaraji @NBA @LAClippers @HoustonRockets @NBAonTNT but did not hold lead. They all 1-1. Still think #Warriors vs #Wizards in finals
Thu May 07 04:29:54 +0000 2015,RT @MatthewECraig: #DCSPORTS #Caps #Wizards #Nats we are one. http://t.co/rqJ6ei4RQl
Thu May 07 04:29:36 +0000 2015,http://t.co/dVavLl6NQ9 2 Atlanta Hawks vs Washington Wizards(Atlanta) Game 5 Playoffs #Wizards http://t.co/jpplrwMCqd
Thu May 07 04:28:50 +0000 2015,#DCSPORTS #Caps #Wizards #Nats we are one. http://t.co/rqJ6ei4RQl
Thu May 07 04:23:31 +0000 2015,http://t.co/qWQfAWvxPQ Larry Brown passed on drafting Paul Pierce because of one bad p #Wizards http://t.co/qHCxHgW6JF
Thu May 07 04:15:07 +0000 2015,Pelicans Met With Joe Dumars http://t.co/rWOlt5d9yG #Wizards #NBA
Thu May 07 04:15:05 +0000 2015,RT @danWorthington: #Capitals win and the hairs on Ted Leonsis are closer to coming off. #Wizards #BaldLeonsis #RockTheRed http://t.co/vqJs…
Thu May 07 04:08:46 +0000 2015,RT @danWorthington: #Capitals win and the hairs on Ted Leonsis are closer to coming off. #Wizards #BaldLeonsis #RockTheRed http://t.co/vqJs…
Thu May 07 04:07:54 +0000 2015,RT @dangaland67: ((((((om))))))  #drawing #localartists #LovinLeeds #londonislovinit #hydepark #Buddhism #shaman #Wizards #philosophy http:…
Thu May 07 04:07:22 +0000 2015,MedStar Health Becomes Official Medical Team Partner of the Washington Capitals and Wizards| http://t.co/FQfIffQInm #NBA #Wizards
Thu May 07 04:06:32 +0000 2015,RT @dangaland67: ((((((om))))))  #drawing #localartists #LovinLeeds #londonislovinit #hydepark #Buddhism #shaman #Wizards #philosophy http:…
Thu May 07 04:05:30 +0000 2015,#NBA #Wizards - VINTAGE JERRY STACKHOUSE WASHINGTON WIZARDS REPLICA JERSEY REEBOK ADULT... http://t.co/b9nDMTJHBD http://t.co/k33Sm3HFUt
Thu May 07 04:04:31 +0000 2015,RT @dangaland67: ((((((om))))))  #drawing #localartists #LovinLeeds #londonislovinit #hydepark #Buddhism #shaman #Wizards #philosophy http:…
Thu May 07 04:04:15 +0000 2015,RT @dangaland67: ((((((om))))))  #drawing #localartists #LovinLeeds #londonislovinit #hydepark #Buddhism #shaman #Wizards #philosophy http:…
Thu May 07 04:04:12 +0000 2015,RT @danWorthington: #Capitals win and the hairs on Ted Leonsis are closer to coming off. #Wizards #BaldLeonsis #RockTheRed http://t.co/vqJs…
Thu May 07 04:02:43 +0000 2015,((((((om))))))  #drawing #localartists #LovinLeeds #londonislovinit #hydepark #Buddhism #shaman #Wizards #philosophy http://t.co/eaJpaobdbw
Thu May 07 04:02:09 +0000 2015,#WashingtonChicagoSportsTeamsCollisionCourse: While #Wizards and #Bulls could meet in Eastern Conference Finals. Now what to do with Arenas?
Thu May 07 04:02:04 +0000 2015,RT @TaylorTepper: I don't know if the #Wizards should get Kevin Martin  but we need to do something to help our bench
