created_at,text
Thu May 07 03:27:47 +0000 2015,RT @ThunderSocial1: Billy Donovan is saying  “Uh  Sam. Can we talk? Is this…..normal?” #OKCThunder http://t.co/ycOjktDQs9
Thu May 07 03:25:34 +0000 2015,Billy Donovan is saying  “Uh  Sam. Can we talk? Is this…..normal?” #OKCThunder http://t.co/ycOjktDQs9
Thu May 07 02:59:39 +0000 2015,RT @ericurbach: Billy Donovan is saying  “Uh  Sam. Can we talk? Is this…..normal?” #OKCThunder
Thu May 07 02:58:59 +0000 2015,RT @ericurbach: Billy Donovan is saying  “Uh  Sam. Can we talk? Is this…..normal?” #OKCThunder
Thu May 07 02:58:01 +0000 2015,RT @ericurbach: Billy Donovan is saying  “Uh  Sam. Can we talk? Is this…..normal?” #OKCThunder
Thu May 07 02:55:17 +0000 2015,RT @ericurbach: Billy Donovan is saying  “Uh  Sam. Can we talk? Is this…..normal?” #OKCThunder
Thu May 07 02:52:28 +0000 2015,Billy Donovan is saying  “Uh  Sam. Can we talk? Is this…..normal?” #OKCThunder
Thu May 07 02:37:18 +0000 2015,Welcome to OKC #coachdonovan #OKCThunder #OKCthunderstorms #OKtornado
Thu May 07 02:13:47 +0000 2015,Exclusive Limited run of the @emersoncustom #emersonparamount in away colors for #okcthunder… https://t.co/MLnIeeFKNx
Thu May 07 00:37:05 +0000 2015,#okc #okcthunder #ThunderUp #nba New Oklahoma City Thunder Rumors. Wednesday  May 6 2015 http://t.co/gqLDfUgYzw
Wed May 06 23:45:55 +0000 2015,#okcthunder #ThunderUp #forum #nba who all retires next year???????????????????? http://t.co/LLSLqSdXwW
Wed May 06 23:40:58 +0000 2015,#okcthunder #ThunderUp #forum #nba los clippers at houston rockets http://t.co/8H8w13QYH5
Wed May 06 23:36:08 +0000 2015,#okcthunder #ThunderUp #forum #nba cleveland vs chicago who wins http://t.co/7yZ9VmpCdR
Wed May 06 22:36:12 +0000 2015,#okcthunder #ThunderUp #forum #nba Coaching-staff 2015-2016 ? http://t.co/AHVMjspHBG
Wed May 06 22:22:59 +0000 2015,Koozies are in. Going to #screenprint some #norman #stillwater and #okcthunder stuff on them after… https://t.co/q9tDtRjCsd
Wed May 06 18:37:02 +0000 2015,#okcthunder #ThunderUp #forum #nba Weep not for the return of Scotty Brooks... http://t.co/yyCWukYOuk
Wed May 06 18:27:02 +0000 2015,@sergeibaka9 can you help me to get an okc pride Jersey? i don't know where to get it in germany love to represent #okcthunder
Wed May 06 18:08:18 +0000 2015,Billy Donovan Has A Lot Of Hard Work Ahead Of Him | http://t.co/PdDMqAofTI #okcthunder #nba
Wed May 06 18:08:03 +0000 2015,#ThunderUp #OKC #OKCthunder #nba Pass first? Point guards look to show you can score  win (The Associated Press) http://t.co/l1aC6uiVHS
Wed May 06 16:31:05 +0000 2015,NEW #ClockRadioSpeakers w/ Dre Murray The Guys Talk #OKCThunder #CashMoneyRecords    Jay-Z’s #BSides w/ #dremurray22… http://t.co/7rFSj1MoEM
