created_at,text
Thu May 07 04:38:36 +0000 2015,RT @JohnSheaHey: Story of Klay and Trayce Thompson of #gswarriors and #whitesox  childhood photos and my video interview of both: http://t.…
Thu May 07 04:37:08 +0000 2015,#gswarriors #goldenstate #warriors The Opf    Liu Show: A Golden State Warriors Podcast Vol. 6 http://t.co/gk0bBtk6wh
Thu May 07 04:04:28 +0000 2015,Story of Klay and Trayce Thompson of #gswarriors and #whitesox  childhood photos and my video interview of both: http://t.co/Y5jv2JJrIY
Thu May 07 01:41:47 +0000 2015,Report: Bulls' Jimmy Butler named NBA's Most Improv... #GSWarriors #WarriorsNation http://t.co/daoK0KahkU http://t.co/UhevVYEwku
Thu May 07 01:37:26 +0000 2015,#goldenstatewarriors #gswarriors Report: Bulls' Jimmy Butler named NBA's Most Improved Player (Ball Don't Lie) http://t.co/nEdv1tAnxm
Thu May 07 01:26:35 +0000 2015,#djgimports #sportit #nofiltertshirtco #gswarriors https://t.co/QZM4vlnAgC
Thu May 07 01:10:54 +0000 2015,Today's come up. Thank you co-worker. 😎☝🏼️🙏🏼🙌🏽👍🏼👐🏽 #StrengthInNumbers #GSWarriors #Thrive… https://t.co/pdeUeS5kuc
Thu May 07 01:06:14 +0000 2015,Now I just want #GSWarriors to take it all 😏
Thu May 07 00:21:22 +0000 2015,Bulls vs. Cleveland  Clippers vs. Rockets  NBA Play... #GSWarriors #WarriorsNation http://t.co/nFlZGZGQpE http://t.co/WwUniYWKVm
Wed May 06 23:20:39 +0000 2015,#CavsNation #GSWarriors💯💯💯
Wed May 06 23:13:40 +0000 2015,#SC30MVP 💯 #CURRY 👍 #StephCurry ✌ #MVP 🔝 #NBA 🔛 #GSWARRIORS 👌 #playmaker #pointguard #success  https://t.co/hkkMJrVcNa
Wed May 06 22:37:18 +0000 2015,@DamonBruce Too many fans assumed the #GSWarriors would go undefeated w/o a challenge    have the trophy handed to em #NBAPlayoffs are 4 real
Wed May 06 22:36:11 +0000 2015,#gswarriors #goldenstate #warriors Bulls vs. Cleveland  Clippers vs. Rockets  NBA Playoffs 2015: Will all four.. http://t.co/aWgik0WBXN
Wed May 06 22:30:53 +0000 2015,Stephen Curry with the handles! #GSWarriors http://t.co/YDDOgRnGiR
Wed May 06 21:36:12 +0000 2015,#goldenstatewarriors #gswarriors PBT Extra: Mike Conley changes series  but Warriors will start to hit shots a.. http://t.co/NVmjbWTt5l
Wed May 06 20:37:03 +0000 2015,#gswarriors #goldenstate #warriors Warriors Free Agency Plans: A Not Too Early Preview http://t.co/KeFUH9l68d
Wed May 06 19:33:16 +0000 2015,RT @TiqIQ: Warriors vs Grizzlies Playoff Tickets For Game 3 At Fedex Forum Are Averaging $175 Per Seat  http://t.co/kU7febXJUa  #GSWarriors…
Wed May 06 19:23:06 +0000 2015,Warriors vs Grizzlies Playoff Tickets For Game 3 At Fedex Forum Are Averaging $175 Per Seat  http://t.co/kU7febXJUa  #GSWarriors #Grizzlies
Wed May 06 19:21:58 +0000 2015,#bayarearapper #jdiggs #joyandpain #gswarriors #mvp #ChefCurry  #GrindingWithAPurpose #BirdsandKeys by #Handyrapper  http://t.co/KF1bRCAVww
Wed May 06 19:08:03 +0000 2015,#goldenstatewarriors #gswarriors The 10-man rotation  starring Mike Conley  Memphis' latest folk hero (Ball Do.. http://t.co/bp0VPjvTEh
Wed May 06 17:51:58 +0000 2015,Is there anyone on the planet who is not a Warriors fan at the moment? #DubNation #GSWarriors
Wed May 06 17:37:28 +0000 2015,#goldenstatewarriors #gswarriors Pass first? Point guards look to show you can score  win (The Associated Press) http://t.co/RNf7gpI2Id
Wed May 06 17:24:24 +0000 2015,Bad day at work for the Splash Brothers  but it's the playoffs - everyone plays tough.  We'll get the next one.  Go Warriors!  #GSWarriors
Wed May 06 16:44:56 +0000 2015,I have some live thoughts from the #GSWarriors vs Grizzlies game last night. Thanks to @prak_daddy for the invite! http://t.co/4GOmL0ngPv
Wed May 06 16:41:24 +0000 2015,#GSWarriors Tony Allen  no dis  is a classic 1 trick pony  evbody kno that!  Th totality of GSW's offense will prevail here    beyond!
Wed May 06 16:39:16 +0000 2015,Hope it's #MemphisGrizzlies or #GSWarriors  https://t.co/aeLoSn9olC
Wed May 06 16:36:16 +0000 2015,#gswarriors #goldenstate #warriors Warriors Get Wake-Up Call in Game 2 Loss Against Grizzlies http://t.co/MipROps4Ha
Wed May 06 15:45:22 +0000 2015,#Grizzlies coach David Joerger after 97-90 win vs #GSWarriors  http://t.co/JcixyYLY18 #NBAPlayoffs #GrizzliesVsWarriors
Wed May 06 15:42:33 +0000 2015,#Grizzlies Mike Conley  Jr. Marc Gasol after 97-90 win vs #GSWarriors  http://t.co/QSaHcKp8GA #NBAPlayoffs #GrizzliesVsWarriors
Wed May 06 15:40:43 +0000 2015,#GSWarriors Stephen Curry after 97-90 loss vs #Grizzlies http://t.co/TMyv0JUeTJ #NBAPlayoffs #GrizzliesVsWarriors
Wed May 06 15:40:01 +0000 2015,#GSWarriors coach Steve Kerr after 97-90 loss vs #Grizzlies http://t.co/3DW2bGSAbj #NBAPlayoffs #GrizzliesVsWarriors
Wed May 06 15:37:09 +0000 2015,#gswarriors #goldenstate #warriors Warriors    NBA Reacts To Steph Curry Winning MVP http://t.co/IxmxbBpklx
Wed May 06 15:37:09 +0000 2015,#gswarriors #goldenstate #warriors One Eyed Charlie and his pirate horde kicked the Warriors in the mouth last.. http://t.co/YwEb7QCnuV
