created_at,text
Thu May 07 04:37:34 +0000 2015,#Lakers #Cards MICHAEL COOPER AUTO 2005-06 FLEER GOTG GREATS OF THE GAME ON CARD SP MINT LAKERS http://t.co/OkoFq9IsUl #Card #Bargains
Thu May 07 04:36:57 +0000 2015,RT @Lkrs4Life702: Big S/O To All The Loyal #Lakers Fans .. Our Time At The Top Will Come Soon Enough 💜💛
Thu May 07 04:36:08 +0000 2015,#Lakers #LakerNation #LA #LosAngeles Los Angeles Lakers Rumors: DeMarre Carroll is an Option This Offseason http://t.co/A0r08zWLcN
Thu May 07 04:35:37 +0000 2015,RT @MFongschway: I got love for the Bulls but it's still #LAKERS #IAMMISSPOLO http://t.co/gLtmGYi1l4
Thu May 07 04:35:13 +0000 2015,Los Angeles Lakers Rumors: DeMarre Carroll is an Option This Offseason:  http://t.co/4SbxkycNlI #NBA #Lakers
Thu May 07 04:35:07 +0000 2015,Pelicans Met With Joe Dumars http://t.co/LpaD4fDpim #Lakers #NBA
Thu May 07 04:34:37 +0000 2015,RT @Lkrs4Life702: Big S/O To All The Loyal #Lakers Fans .. Our Time At The Top Will Come Soon Enough 💜💛
Thu May 07 04:32:38 +0000 2015,#Lakers #Autographs Kobe Bryant Los Angeles Lakers Sports Illustrated February 21  2011 http://t.co/zJHISEgYjn #Autograph #Auction
Thu May 07 04:32:37 +0000 2015,#Lakers #NBA 1996-97 Press pass #Kobe #Bryant ROOKIE AUTOGRAPH beckett 10 AUTO rare LOOK!!!! http://t.co/BlAOSDoRQU #Collectibles #Offer
Thu May 07 04:32:36 +0000 2015,#Lakers #Deals #Kobe #Bryant extremely rare ERROR insert card 2014-15 donruss limited to 18 15/18 http://t.co/EmJZNCDJSO #Collection #Sale
Thu May 07 04:31:34 +0000 2015,#Apparel #Souvenirs #NBA MPLS #LosAngeles #Lakers-L.A.-Hardwood Classics WOMEN'S… http://t.co/VghAkUDbHQ #Forsale #onsale
Thu May 07 04:30:22 +0000 2015,I got love for the Bulls but it's still #LAKERS #IAMMISSPOLO http://t.co/gLtmGYi1l4
Thu May 07 04:30:04 +0000 2015,L #JeremyLin #Lakers 2014-15 Panini Gold Standard #96A Jeremy Lin Knicks Variation #/285 BX 302AAA #Deals #Online http://t.co/2xzAjlw69i
Thu May 07 04:28:28 +0000 2015,L #Lakers #Cards 2014-15 Elite #86 Jerry West - Los Angeles Lakers #Card #Bargains http://t.co/Jt1KlyVLOi
Thu May 07 04:28:27 +0000 2015,#Sports #Memorabilia Jerry West #LosAngeles #Lakers Legends Pin http://t.co/cRzFnTLZ5J #eBay #Bestseller
Thu May 07 04:26:51 +0000 2015,#DODGERS team physician and #LAKERS orthopedist performs successful shoulder surgery on Manny Pacquiao - http://t.co/iz4ycHJygg
Thu May 07 04:25:00 +0000 2015,Here's what Los Angeles was talking about last weekend... and you can probably guess the top story: http://t.co/UO9oKkVet3 #Clippers #Lakers
Thu May 07 04:24:54 +0000 2015,RT @Lakers_Fans1: L #Lakers #Autographs JERRY WEST SIGNED AUTOGRAPHED LOS ANGELES LAKERS 11x14 Photo PSA/DNA #W81876 #Autograph… http://t.c…
Thu May 07 04:22:35 +0000 2015,L #Lakers #Autographs JERRY WEST SIGNED AUTOGRAPHED LOS ANGELES LAKERS 11x14 Photo PSA/DNA #W81876 #Autograph… http://t.co/nQxkiBsbtq
Thu May 07 04:22:35 +0000 2015,#Health #Fatloss Why Should We Be Concerned About Healthy Eating for Effective Weight Loss? http://t.co/pWbFCQHCHN #Deals #Lakers
Thu May 07 04:22:13 +0000 2015,I still love the #Lakers
Thu May 07 04:22:00 +0000 2015,Modern Family's Julie Bowen needs to be more careful when she goes to Lakers games at Staples Center: http://t.co/Us2QxJZCX3 #Lakers #NBA
Thu May 07 04:20:47 +0000 2015,RT @NBAMemes: Kobe Bryant HATERS looking for that proof. #Lakers #WaybackWednesday http://t.co/0tFg4genJU
Thu May 07 04:20:34 +0000 2015,#Lakers #Cards 2003-04 Upper Deck EXQUISITE Luke Walton RC/AUTO/PATCH #151/225 (3-color patch) http://t.co/LWB6WRHc1j #Card #Bargains
Thu May 07 04:18:11 +0000 2015,L L #NBA #Lakers #JeremyLin 2014-15 Totally Certified Clear Cloth Jerseys Red #69 (Sk#14288) #eBay #Auction http://t.co/EzrIkG2u4r
Thu May 07 04:17:18 +0000 2015,L #Lakers #Deals #NBA Los Angeles Lakers #Adidas XL #Kobe #Bryant White Lakers #Jersey-Style #TShirt #Collection… http://t.co/Pg9mpHKK53
Thu May 07 04:16:35 +0000 2015,#Lakers #NBA #Kobe #Bryant Los Angeles Laker #Adidas #NBA Purple Player #TShirt * XLG* http://t.co/28SKXwB6z2 #Collectibles #Offer
Thu May 07 04:16:35 +0000 2015,#Lakers #Autographs EDDIE JONES AUTOGRAPHED SIGNED 8 X 10 COLOR Photo MIAMI HEAT LOS ANGELES… http://t.co/qmu2iLS2pS #Autograph #Auction
Thu May 07 04:16:33 +0000 2015,#Lakers #Deals Larry Bird    Magic Johnson 1980 Topps Rookie Cards http://t.co/MhOyvwjelW #Collection #Sale
Thu May 07 04:16:15 +0000 2015,#Apparel #Souvenirs #adidas #LosAngeles #Lakers YOUTH BOYS #Basketball SHORTS BLACK PURPLE XL 18-20 http://t.co/xUam0JTElR #Forsale #onsale
Thu May 07 04:16:04 +0000 2015,#NBA #Lakers 2010-11 Rookies    Stars #129 #JeremyLin Rookie Card http://t.co/xzHG7Rz26h #eBay #Auction
Thu May 07 04:16:04 +0000 2015,#JeremyLin #Lakers 2010-11 Rookies    Stars #129 Jeremy Lin Rookie Card http://t.co/pJSonQPj7p #Deals #Online
Thu May 07 04:15:06 +0000 2015,All These #Lakers Fans Turnt Into #Clippers Fans But.. 😂
Thu May 07 04:15:06 +0000 2015,Draft Notes :Turner  Okafor  Jones http://t.co/yITyl3KsOD #Lakers #NBA
Thu May 07 04:12:28 +0000 2015,This deserves a post. #lakers #biff #seniors #thebeatles #flannel https://t.co/jSxTI05NXm
Thu May 07 04:12:08 +0000 2015,L L #Lakers #Autographs MAGIC JOHNSON AUTOGRAPHED 8x10 Photo LOS ANGELES LAKERS NBA HOF #Autograph #Auction http://t.co/3vo8uXKsrY
Thu May 07 04:12:06 +0000 2015,L L L #JeremyLin #Lakers NIKE ZOOM HYPERDUNK 2001 LOW SHOE SIZE 14 JEREMY LIN #Deals #Online http://t.co/42Oh4l4uup
Thu May 07 04:11:54 +0000 2015,Dwight hate is still real. #Lakers
Thu May 07 04:09:37 +0000 2015,"You sucked on the #Lakers you'll suck in Houston" my dad about Dwight Howard😂😂😂😂
Thu May 07 04:09:06 +0000 2015,My dislike of #clippers largely extends to the nixed Chris Paul deal to my beloved #lakers -- but I find myself rooting for them vs rockets
Thu May 07 04:05:35 +0000 2015,L #Lakers #Autographs Youth Authentic Los Angeles Lakers Kobe Bryant #24 Jersey Back Design sz 8 #Autograph #Auction http://t.co/mdrckEsGGj
