created_at,text
Thu May 07 04:39:36 +0000 2015,@IamUndadog Look at the minutes per game. Breaking down the points per minute  he is killing both! #MikeConleyBestPG #Grizzlies
Thu May 07 04:39:02 +0000 2015,http://t.co/NvAB9WpvYy 1-6 TIX Round 2 Memphis Grizzlies v GS Warriors HG3 5/15 Fed #Grizzlies http://t.co/FmV3bBW9Ra
Thu May 07 04:38:06 +0000 2015,#Bulls better than #Grizzlies? I need an expert here. @HPbasketball what say you? http://t.co/NPqd7XXEkf
Thu May 07 04:30:10 +0000 2015,Jimmy Butler To Be Named Most Improved Player http://t.co/6j9msv6hI9 #Grizzlies #NBA
Thu May 07 04:29:52 +0000 2015,BigReporter: http://t.co/idsAyAULNN #Grizzlies #Hawks win  both #series at 1-1 #news http://t.co/Q5uwPaSC2J
Thu May 07 04:27:54 +0000 2015,RT @NBAMemes: Mike Conley: The REAL MVP. #Grizzlies http://t.co/TpzyhbjSEv
Thu May 07 04:27:28 +0000 2015,#Grizzlies vs #Cavaliers finals
Thu May 07 04:26:33 +0000 2015,#NBA #Grizzlies - NBA Memphis Grizzlies Basketball 12 oz Beer Bottle Light LED Neon Bar... http://t.co/bT3l8l04Hr http://t.co/k33Sm3HFUt
Thu May 07 04:22:52 +0000 2015,RT @abc7newsBayArea: #StephCurry says #Warriors will be able to "bounce back" after last night's tough loss to #Grizzlies: http://t.co/KTnh…
Thu May 07 04:22:05 +0000 2015,RT @abc7newsBayArea: #StephCurry says #Warriors will be able to "bounce back" after last night's tough loss to #Grizzlies: http://t.co/KTnh…
Thu May 07 04:18:11 +0000 2015,http://t.co/NvAB9WpvYy Slam Magazine Memphis Grizzlies March 2013  #Grizzlies http://t.co/VSra5wVSEB
Thu May 07 04:07:10 +0000 2015,Creating Change With Service and TEAMwork - http://t.co/PJMWpkk0ez #Grizzlies
Thu May 07 04:05:56 +0000 2015,Grizzlies win! You're on our ice now Ontario. Best protect ya neck! #Grizzlies #Grizzlieshockey #reignisover #ontariosucks #believethat
Thu May 07 04:05:51 +0000 2015,RT @Crosscut: Could #grizzlies make a come back in WA state? A grizzly hasn't been spotted in the Northern Cascades since 1996. http://t.co…
Thu May 07 04:03:49 +0000 2015,RT @NBAMemes: Mike Conley: The REAL MVP. #Grizzlies http://t.co/TpzyhbjSEv
Thu May 07 04:01:08 +0000 2015,Watching Griffin's mane and Harden's beard. #Grizzlies #GritNGrind #BelieveMemphis
Thu May 07 04:00:02 +0000 2015,RT @abc7newsBayArea: #StephCurry says #Warriors will be able to "bounce back" after last night's tough loss to #Grizzlies: http://t.co/KTnh…
Thu May 07 03:59:25 +0000 2015,Both these teams are going to lose to the #warriors or #Grizzlies
Thu May 07 03:56:39 +0000 2015,RT @NBAMemes: Mike Conley: The REAL MVP. #Grizzlies http://t.co/TpzyhbjSEv
Thu May 07 03:52:53 +0000 2015,RT @abc7newsBayArea: #StephCurry says #Warriors will be able to "bounce back" after last night's tough loss to #Grizzlies: http://t.co/KTnh…
