created_at,text
Thu May 07 04:01:16 +0000 2015,After training  byahe tiiiiimee!!!!! #mavs #MPB #Road2superatar
Thu May 07 03:48:23 +0000 2015,My teams aren't fairing well in the playoffs this year #Mavs #NYR
Thu May 07 03:47:12 +0000 2015,RT @CoachDJackson: Excited to announce the addition of Serbian Milovan Topalovic to our program! #NOC #Mavs #SuccessIsAChoice @SMI38
Thu May 07 03:36:39 +0000 2015,@Ama_RedBone all in my mentions when the #Mavs lost 😒
Thu May 07 03:16:36 +0000 2015,RT @mavericksgolf: Hats off to an incredible career to the MAVS cornerstone @Ross_T_Miller couldn't have asked for a better captain and lea…
Thu May 07 03:12:57 +0000 2015,The #Rockets could’ve been fresh/high powered given their 5 game dismissal of the #Mavs OR they just stomped out a broken team. Now we know
Thu May 07 03:12:54 +0000 2015,Fuck that  #Mavs need to sign DJ
Thu May 07 03:01:52 +0000 2015,Shaking my head vigorously at #Mavs losing to this rubbish Rockets team. Blake Griffin on some MJ-level against their "defence".
Thu May 07 03:00:46 +0000 2015,America knows what kind of team Houston really is!!!!! #PointBlank #mavs
Thu May 07 02:56:31 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 02:52:54 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 02:37:54 +0000 2015,It's dumb 😒 but come next season we will b different n better #Mavs https://t.co/kgp5sdDi5y
Thu May 07 02:35:06 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 02:31:33 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 02:31:21 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 02:24:29 +0000 2015,If #mavs don't offer deandre jordan a max contract  they aren't serious about winning #nba
Thu May 07 02:19:33 +0000 2015,RT @ddlovato: AHHHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! :D :D :D #MAVS!!!!!!!!!!!!!!!!!! :*D!!…
Thu May 07 02:17:04 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 02:14:47 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 02:13:38 +0000 2015,@farouq1 thanks for the follow. Go #Mavs
Thu May 07 02:09:11 +0000 2015,RT @vipersvenom29: what will #Mavs fans say if #Heat wins today? Games 6 and 7 on the South Beach. but we don't need game 7 anyways haha LOL
Thu May 07 02:08:56 +0000 2015,RT @vipersvenom29: were moments away for Game1..Lets go #HEAT! Beat the #MAVS for the 2nd time!
Thu May 07 02:07:01 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 01:56:56 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 01:50:47 +0000 2015,@farouq1 is FOLLOWING ME😱😱😱😱 #Mavs #MavsNation http://t.co/d4HPi9yEs5
Thu May 07 01:50:04 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 01:48:54 +0000 2015,RT @mavericksgolf: Hats off to an incredible career to the MAVS cornerstone @Ross_T_Miller couldn't have asked for a better captain and lea…
Thu May 07 01:43:32 +0000 2015,RT @Char_Beautiful: Im so proud of all of my friends back in buffalo...they are all doing so great and on their way to graduation #MAVS #CL…
Thu May 07 01:42:41 +0000 2015,Im so proud of all of my friends back in buffalo...they are all doing so great and on their way to graduation #MAVS #CLASSOF2016
Thu May 07 01:37:23 +0000 2015,#Mavs #dallasmavericks #dallas Final 2014-15 Grades for Every Dallas Mavericks Player http://t.co/83h6Wc1SLW
Thu May 07 01:32:55 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 01:22:11 +0000 2015,@dallasmavs #MFFL #MavsNation #Mavs
Thu May 07 01:21:27 +0000 2015,RT @mavericksgolf: Hats off to an incredible career to the MAVS cornerstone @Ross_T_Miller couldn't have asked for a better captain and lea…
Thu May 07 01:16:19 +0000 2015,RT @mavericksgolf: Hats off to an incredible career to the MAVS cornerstone @Ross_T_Miller couldn't have asked for a better captain and lea…
Thu May 07 01:14:17 +0000 2015,RT @mavericksgolf: Hats off to an incredible career to the MAVS cornerstone @Ross_T_Miller couldn't have asked for a better captain and lea…
Thu May 07 01:13:16 +0000 2015,RT @mavericksgolf: Hats off to an incredible career to the MAVS cornerstone @Ross_T_Miller couldn't have asked for a better captain and lea…
Thu May 07 01:12:52 +0000 2015,RT @mavericksgolf: Hats off to an incredible career to the MAVS cornerstone @Ross_T_Miller couldn't have asked for a better captain and lea…
Thu May 07 01:12:47 +0000 2015,RT @mavericksgolf: Hats off to an incredible career to the MAVS cornerstone @Ross_T_Miller couldn't have asked for a better captain and lea…
Thu May 07 01:10:16 +0000 2015,RT @mavericksgolf: Hats off to an incredible career to the MAVS cornerstone @Ross_T_Miller couldn't have asked for a better captain and lea…
Thu May 07 01:09:46 +0000 2015,Hats off to an incredible career to the MAVS cornerstone @Ross_T_Miller couldn't have asked for a better captain and leader #mavs #cap
Thu May 07 01:07:28 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 01:04:40 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 01:02:46 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 01:02:04 +0000 2015,#SBNation #Mavs Was the Mavericks season a success? http://t.co/yp8fTTkaRv http://t.co/Qgb7v50D7o
Thu May 07 00:58:34 +0000 2015,I miss the #Mavs already. ?? http://t.co/hmxqmfmhHb
Thu May 07 00:58:19 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 00:58:07 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 00:51:47 +0000 2015,"@MavsFansForLife: I miss the #Mavs already. 😔" fuckin yes
Thu May 07 00:50:44 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 00:49:07 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 00:47:20 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
Thu May 07 00:46:47 +0000 2015,RT @MavsFansForLife: I miss the #Mavs already. 😔
