created_at,text
Thu May 07 04:39:55 +0000 2015,#nbagametime One Helluva Game 2 #Clippers #Rockets #bigAZZfan
Thu May 07 04:39:55 +0000 2015,James Harden in the 4th quarter tonight is what we need for the rest of the series. #Rockets #Pursuit 🚀
Thu May 07 04:39:55 +0000 2015,D12 with his 4th block of the game denied Jamal Crawford.  Goes to line w/ :06 left    6 pt lead. #rockets
Thu May 07 04:39:54 +0000 2015,BIG WIN BABY!!! #RedNation #Rockets 🏀🚀
Thu May 07 04:39:53 +0000 2015,I can breatheeeee #Rockets
Thu May 07 04:39:53 +0000 2015,Ball game. Good night  friends. Victory!!!!!! #Rockets
Thu May 07 04:39:52 +0000 2015,Wooooooooo!!!!!! #Rockets @houstonrockets #Htown #tiedup #sportstown https://t.co/tvSFtyWmtA
Thu May 07 04:39:51 +0000 2015,RT @htownbasketball: Wow Dwight swish🏀 #ROCKETSvCLIPPERS #Rockets #RedNation #rocketswin http://t.co/2FUPLtbzPo
Thu May 07 04:39:50 +0000 2015,You can't miss that boy @slimthugga with those iced out chains. #Pursuit #RedNation #Rockets
Thu May 07 04:39:45 +0000 2015,Well... whatever. #Rockets
Thu May 07 04:39:45 +0000 2015,YEEEEESSSSSS BABBBYYYY 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀 #REDNATION #ROCKETS
Thu May 07 04:39:43 +0000 2015,#KHOU #rockets Harden hits 2 FT's. New team high of 42 made free throws in playoffs. Rockets up 125-109 with six left.
Thu May 07 04:39:43 +0000 2015,Barring a miracle  we are going to LA 1-1 -- Let's go #Rockets #Houston #Pursuit #RedNation
Thu May 07 04:39:39 +0000 2015,#Rockets definitely did not take advantage of the amount of free throw opportunities they had. #ClippersvsRockets #Pursuit
Thu May 07 04:39:35 +0000 2015,RT @KalaBabu08: Please give the ball to Austin rivers #rockets
Thu May 07 04:39:33 +0000 2015,#ROCKETSvCLIPPERS series tied. Now to LA. Let's go #Rockets
Thu May 07 04:39:32 +0000 2015,A win was absolutely vital. Glad the #Rockets actually played with some fire in the second half. Gonna need that and then some in LA.
Thu May 07 04:39:30 +0000 2015,Is that Patrick Beverley wearing those gold shoes on the #Rockets bench?? Man those are SLICK!! #CLIPPERSvsROCKETS
Thu May 07 04:39:29 +0000 2015,1-1 #Rockets 🚀
Thu May 07 04:39:29 +0000 2015,RT @FabianFores99: Dwight Howard just made two clutch free throws?   WTF...still scratching my head.  #dwighthoward #rockets #tntplayoffs #…
Thu May 07 04:39:28 +0000 2015,Going to get much tougher in game 3 with Chris Paul probably coming back! Glad the #Rockets tied it back up 1-1!!!! #FearTheBeard #RedNation
Thu May 07 04:39:26 +0000 2015,Tied up 1-1 #rockets still have work to do 👏🚀🚀 #howard #harden
Thu May 07 04:39:25 +0000 2015,The #Rockets have closed the soup kitchen and evened up the series in #Houston. #NBAPlayoffs #NBA #sportshandicapper
Thu May 07 04:39:21 +0000 2015,Love seeing @slimthugga court side at all these #Rockets #Playoff games
Thu May 07 04:39:19 +0000 2015,RT @CEO4SHO: Blake Griffin did the world's greatest disappearing act in the 2nd half!!! @NBAonTNT #Rockets
Thu May 07 04:39:14 +0000 2015,Please give the ball to Austin rivers #rockets
Thu May 07 04:39:06 +0000 2015,RT @adamclanton: Two “eff you” free throw makes by Dwight. That hack at the LA Times must be having an aneurism right now. #Rockets #Clippe…
Thu May 07 04:39:04 +0000 2015,TIX http://t.co/JaFlKEdQwa L L B 2 Round 2 Los Angeles Clippers v Houston #Rockets Home Game 2… http://t.co/IP2HQU5HJQ #Ticket #Tickets
Thu May 07 04:39:04 +0000 2015,TIX http://t.co/uc1QIL6tF6 A A A 2 #Tickets NBA Finals Houston #Rockets Date Subject to Change HG3… http://t.co/nmpIlu1z0Y #Ticket…
Thu May 07 04:38:58 +0000 2015,Don't count the rockets out boyeee! 🚀🔥 #RedNation #Rockets
Thu May 07 04:38:55 +0000 2015,It's really awkward that #rockets fans keep cheering for @StephenCurry30
Thu May 07 04:38:54 +0000 2015,Monumental struggle  but 1-1 when all is said and done.  Just get 1 in LA and start with a clean slate #Rockets
Thu May 07 04:38:50 +0000 2015,RT @KHOUSportsMatt: #KHOU #rockets Dwight w/ 2 big free throws and now Rockets have made franchise playoff high 40 FT's. The previous high …
Thu May 07 04:38:48 +0000 2015,RT @awexler: 18 of Harden's 30 pts have come since he checked back in at 2:07 of 3rd Q q/ HOU down 7. Now #Rockets up 6  71 seconds left.
Thu May 07 04:38:42 +0000 2015,#Rockets fans can chant MVP all they want but @JHarden13 let an Austin rivers led @LAClippers to win game 1. No excuse.
Thu May 07 04:38:41 +0000 2015,What is this high school ? #rockets in bound defense is horrible!
Thu May 07 04:38:35 +0000 2015,The baffled look on Kevin McHale's face deserves its own hashtag. #rockets
Thu May 07 04:38:34 +0000 2015,RT @HoustonRockets Swish x 2 #rockets
Thu May 07 04:38:33 +0000 2015,HA 2 oldtimer stuff #rockets v #clippers=dj play #thereitis      crowd chant #beatLA=clips ARE the new #lakers @magicjohnson
Thu May 07 04:38:32 +0000 2015,RT @awexler: As I noted earlier  #Rockets were just a couple FTs shy of new playoff record for makes. Howard FTs got it for them now have 4…
Thu May 07 04:38:30 +0000 2015,RT @CEO4SHO: Blake Griffin did the world's greatest disappearing act in the 2nd half!!! @NBAonTNT #Rockets
Thu May 07 04:38:28 +0000 2015,Great  needed  comeback win! #Rockets 🚀
Thu May 07 04:38:27 +0000 2015,RT @jedimaster_69: Space city 🚀🚀🚀#Houston #rockets #semifinals #playoffs #game2 https://t.co/lBRrqOXo4l
Thu May 07 04:38:26 +0000 2015,http://t.co/yrMtBKmZxO Dwight Howard Houston Rockets Basketball NBA 24x36 Art POSTER  #Rockets http://t.co/TY4TqQ7Jg6
Thu May 07 04:38:24 +0000 2015,RT @spacebrasil: #NBAnoSPACE | #CLIPPERS 107-113 #ROCKETS | 4º QUARTO (16.1).
Thu May 07 04:38:18 +0000 2015,Is it too much to ask the #Rockets to cover the 7.5?
Thu May 07 04:38:14 +0000 2015,That's game. The end. Goh #rockets #FearTheBeard #fearhouston
Thu May 07 04:38:14 +0000 2015,I was nervous for the #Rockets 1st half of the game. Thought they were going 0-2 to start the series
Thu May 07 04:38:13 +0000 2015,#KHOU #rockets Dwight w/ 2 big free throws and now Rockets have made franchise playoff high 40 FT's. The previous high was back in 1987.
Thu May 07 04:38:12 +0000 2015,Dwight Howard just made two clutch free throws?   WTF...still scratching my head.  #dwighthoward #rockets #tntplayoffs #clippers #hackashaq
Thu May 07 04:38:12 +0000 2015,Franchement les #Rockets ils ont pas trop perdu en laissant partir #Parsons la saison dernière quand on voit ce que fait #Ariza
Thu May 07 04:38:11 +0000 2015,RT @CEO4SHO: Blake Griffin did the world's greatest disappearing act in the 2nd half!!! @NBAonTNT #Rockets
Thu May 07 04:38:03 +0000 2015,My Yesssss  Dwight Howard made two free throws in a row face! #Rockets https://t.co/JSaObOu7D7
Thu May 07 04:38:01 +0000 2015,RT @jedimaster_69: Space city 🚀🚀🚀#Houston #rockets #semifinals #playoffs #game2 https://t.co/lBRrqOXo4l
Thu May 07 04:37:58 +0000 2015,This is me on the inside right now. #Rockets  https://t.co/ergO3z4i3q
Thu May 07 04:37:56 +0000 2015,Its a rap now on! Rocket's go back tied!Enter #CP3  things get real from here and #Rockets better play better on defense
Thu May 07 04:37:55 +0000 2015,RT @GregBailey13: You gotta watch man! D12 has got you #Rockets
Thu May 07 04:37:55 +0000 2015,RT @CEO4SHO: Blake Griffin did the world's greatest disappearing act in the 2nd half!!! @NBAonTNT #Rockets
Thu May 07 04:37:52 +0000 2015,#NBA #Rockets no termina de cerrarlo nunca
Thu May 07 04:37:48 +0000 2015,RT @Esp_Interativo: Reta final de mais um jogão da NBA  corre lá no Space “@spacebrasil: #NBAnoSPACE | #CLIPPERS 88-93 #ROCKETS | 4º QUARTO…
Thu May 07 04:37:46 +0000 2015,RT @HoustonRockets: Ariza    Harden with two clutch 3’s puts the #Rockets up!  HOU: 93 LAC:88
Thu May 07 04:37:46 +0000 2015,Do the ends justify the means in this #Rockets series? How can we get excited over free throws? What happened to plays? #ROCKETSvCLIPPERS
Thu May 07 04:37:45 +0000 2015,@LAClippers v. @HoustonRockets:HOU really turned it around.Let's see if they can win.#NBA #NBAPlayoffs #Rockets #WeAreLA #CLIPPERSvsROCKETS
Thu May 07 04:37:42 +0000 2015,RT @GASportsNetwork: Video: Down Goes @SHAQ during @NBAonTNT halftime of #Clippers #Rockets http://t.co/zu38EErE9A @TheJetOnTNT @TurnerSpor…
Thu May 07 04:37:42 +0000 2015,As I noted earlier  #Rockets were just a couple FTs shy of new playoff record for makes. Howard FTs got it for them now have 40 FTM (40-60)
Thu May 07 04:37:41 +0000 2015,RT @CEO4SHO: Blake Griffin did the world's greatest disappearing act in the 2nd half!!! @NBAonTNT #Rockets
Thu May 07 04:37:41 +0000 2015,RT @adamclanton: Austin Rivers picking the perfect time to remember he’s Austin Rivers. #Rockets #Clippers
Thu May 07 04:37:41 +0000 2015,#Rockets finally Howard gets his free throws! Those are FREE guys!
Thu May 07 04:37:41 +0000 2015,i don't think you could recognize James Harden if he shaved his beard. #Rockets #CLIPPERSvsROCKETS
Thu May 07 04:37:35 +0000 2015,Why does Kevin McHale look like he could die at any second? #rockets #clippers #nba
Thu May 07 04:37:32 +0000 2015,RT @2rothaboss: Game time!!! #RedNation #Rockets🚀🚀🚀🚀🚀
Thu May 07 04:37:30 +0000 2015,Some clutch FT from the big man @DwightHoward lets go #Rockets finish
Thu May 07 04:37:29 +0000 2015,Much needed win🚀🙌🏼 #rockets
Thu May 07 04:37:29 +0000 2015,This game over but this is a Dawg ass series... I got whoever win this to win it all #Clippers #Rockets   👀I'm watching D.Rose too
Thu May 07 04:37:28 +0000 2015,RT @HoustonRockets: Ariza    Harden with two clutch 3’s puts the #Rockets up!  HOU: 93 LAC:88
Thu May 07 04:37:24 +0000 2015,This whole 4th quarter of the #Rockets game http://t.co/77W23rhtlT
Thu May 07 04:37:23 +0000 2015,RT @EffBarbie: oh Austin Rivers is gonna get a whooping from Doc Rivers when they get home for losing that ball lol #Clippers #Rockets
Thu May 07 04:37:16 +0000 2015,RT @moisekapenda: "I make 'em when they count." Howard mimicking Shaq. #Rockets #LACvsHOU
Thu May 07 04:37:14 +0000 2015,“@GoogleFacts: "Pogonophobia" = The unusual fear of beards.”            #JamesHarden #Rockets 🚀🚀🚀🚀
Thu May 07 04:37:14 +0000 2015,It's all good we came and won game 1 so we still have home court advantage without CP3 so suck on that houston fans #Clippers vs #Rockets
Thu May 07 04:37:11 +0000 2015,L L #NBA #DwightHoward 14/15 SELECT ROCKETS DWIGHT HOWARD SWATCHES JERSEY CARD 49/75 #Rockets #Bargains http://t.co/zyKdf3ArTJ
Thu May 07 04:37:11 +0000 2015,Come on #Rockets !!!🚀🚀
Thu May 07 04:37:08 +0000 2015,ummm its inevitable #Rockets won this one GAME OVER #Clippers
Thu May 07 04:37:07 +0000 2015,Both the #rockets and #cavs won!! BOOM!!! #nba
Thu May 07 04:37:07 +0000 2015,cold blooded #ClutchCity #Rockets
Thu May 07 04:37:05 +0000 2015,Wow Dwight swish🏀 #ROCKETSvCLIPPERS #Rockets #RedNation #rocketswin http://t.co/2FUPLtbzPo
Thu May 07 04:37:05 +0000 2015,#NBAnoSPACE | #CLIPPERS 107-113 #ROCKETS | 4º QUARTO (16.1).
Thu May 07 04:37:03 +0000 2015,🚀🚀🚀🔥🔥🔥 #📎🔫 #rednation #playoffs #rockets @ Houston Toyota Center https://t.co/fqbm2k3sLE
Thu May 07 04:37:03 +0000 2015,Hell Yes #Rockets! Thank You! Thank You! Thank You for proving me wrong! You showed Heart! #ClutchCity! #ROCKETSvCLIPPERS #NBAonTNT !
Thu May 07 04:37:02 +0000 2015,Home stretch #Rockets! Let's get this W and start getting ready for Game 3. #ROCKETSvCLIPPERS #RedNation #Pursuit
Thu May 07 04:37:01 +0000 2015,RT @phillipesanchez: props to the guy that couldn't even look... #Rockets #ClutchCity #BeatLA
Thu May 07 04:37:01 +0000 2015,Rockets bout to get the W 🚀🏀🚀🏀🚀🏀🚀🏀🚀 #rockets #rednation #Pursuit #JamesHarden
Thu May 07 04:36:58 +0000 2015,RT @CEO4SHO: Blake Griffin did the world's greatest disappearing act in the 2nd half!!! @NBAonTNT #Rockets
Thu May 07 04:36:57 +0000 2015,#clutchcity #freethrows perfect timing @DwightHoward LEGGO #rockets
Thu May 07 04:36:56 +0000 2015,Raining again in the H .... 3s!! Let's go #Rockets!
Thu May 07 04:36:56 +0000 2015,6 Pts    16 seconds should be good enough to beat any team that doesn't have Bird (or Reggie Miller pushing Greg Anthony down) #rockets
Thu May 07 04:36:56 +0000 2015,RT @LoveItOrCaitIt: When I open my sports bar  there will be TVs in all bathrooms. Hell in every stall! #whenyougottagoyougottago #rockets
Thu May 07 04:36:55 +0000 2015,#rockets rivers got more fouls than points hahahhahaha
Thu May 07 04:36:54 +0000 2015,RT @adamclanton: Austin Rivers picking the perfect time to remember he’s Austin Rivers. #Rockets #Clippers
Thu May 07 04:36:54 +0000 2015,Still no Smith...It has been the difference. #Rockets
